PID, Comm, Completion Time (ns), Off CPU PCT, ON CPU PCT, AVG RESPONSE TIME (ns)
434360,b'stress-ng-aio', 56413160645,99.84,0.16,361399
434362,b'stress-ng-aio', 53588983465,99.83,0.17,351412
434365,b'stress-ng-aio', 58850923614,99.81,0.19,382920
434369,b'stress-ng-aio', 59554355178,99.81,0.19,355363
434372,b'stress-ng-cpu', 59823000951,58.88,41.12,1950233
434354,b'stress-ng-aio', 59554284798,99.77,0.23,374198
434357,b'stress-ng-cpu', 59799995679,59.06,40.94,1953972
434366,b'stress-ng-cpu', 59803998963,60.26,39.74,1939446
434353,b'stress-ng-cpu', 59769006698,58.83,41.17,1952377
434361,b'stress-ng-cpu', 59621995632,59.82,40.18,1951970
434359,b'stress-ng-cpu', 59743998282,60.53,39.47,1942056
434375,b'stress-ng-cpu', 59822991271,58.84,41.16,1941604
434364,b'stress-ng-cpu', 59784008896,58.76,41.24,1917457
434363,b'stress-ng-cpu', 59786998050,58.35,41.65,1937238
434355,b'stress-ng-cpu', 59822133542,58.64,41.36,1954193
434368,b'stress-ng-cpu', 59816977607,59.18,40.82,1935544
434370,b'stress-ng-cpu', 59769984456,59.46,40.54,1937535
434356,b'stress-ng-aio', 58048901585,99.79,0.21,402771
434374,b'stress-ng-aio', 55488079646,99.78,0.22,349168
434358,b'stress-ng-aio', 57905914766,99.73,0.27,351268
434367,b'stress-ng-aio', 59233461756,99.76,0.24,333535
434371,b'stress-ng-aio', 58936390978,99.81,0.19,335254
434373,b'stress-ng-aio', 58347876379,99.76,0.24,373396
434352,b'stress-ng-aio', 55983963125,99.81,0.19,323886
