PID, Comm, Completion Time (ns), Off CPU PCT, ON CPU PCT, AVG RESPONSE TIME (ns)
429394,b'stress-ng-cpu', 57813954516,71.45,28.55,6855238
429405,b'stress-ng-cpu', 47665994283,75.09,24.91,8327823
429407,b'stress-ng-cpu', 57534993689,79.08,20.92,10635578
429410,b'stress-ng-aio', 43030082619,98.19,1.81,13771
429397,b'stress-ng-cpu', 59685999162,76.40,23.60,9641817
429403,b'stress-ng-aio', 57441976137,98.57,1.43,15829
429404,b'stress-ng-cpu', 59682994994,74.57,25.43,9407564
429391,b'stress-ng-cpu', 57459426787,73.88,26.12,8402976
429400,b'stress-ng-cpu', 57951992258,77.32,22.68,10453521
429401,b'stress-ng-cpu', 56937997561,79.16,20.84,10494075
429398,b'stress-ng-cpu', 57123052427,73.61,26.39,8342105
429396,b'stress-ng-cpu', 57881990761,74.51,25.49,8148309
429402,b'stress-ng-cpu', 56609998591,74.69,25.31,8246135
429406,b'stress-ng-aio', 42894277560,95.56,4.44,10756
429395,b'stress-ng-cpu', 56609986377,79.36,20.64,10013702
429389,b'stress-ng-cpu', 59152982577,68.81,31.19,7513364
429393,b'stress-ng-cpu', 59690671151,74.17,25.83,8218427
429390,b'stress-ng-cpu', 59703776420,75.65,24.35,9619533
429399,b'stress-ng-cpu', 56945993857,73.99,26.01,9071676
429388,b'stress-ng-cpu', 55943027848,74.23,25.77,8390364
429392,b'stress-ng-cpu', 55847973396,71.63,28.37,8665744
429408,b'stress-ng-aio', 32038781329,95.77,4.23,10213
429409,b'stress-ng-aio', 50022434077,98.05,1.95,8929
429411,b'stress-ng-aio', 57120148349,98.14,1.86,16958
