PID, Comm, Completion Time (ns), Off CPU PCT, ON CPU PCT, AVG RESPONSE TIME (ns)
21627,b'stress-ng-aio', 59672385858,99.67,0.33,100497
21629,b'stress-ng-aio', 59672372399,99.70,0.30,116841
21635,b'stress-ng-aio', 59131463658,99.72,0.28,104432
21636,b'stress-ng-aio', 59672221258,99.69,0.31,113012
21638,b'stress-ng-aio', 59671737829,99.70,0.30,97428
21633,b'stress-ng-aio', 59672032479,99.70,0.30,106643
21644,b'stress-ng-aio', 59671076507,99.66,0.34,104436
21643,b'stress-ng-aio', 59131213540,99.71,0.29,103355
21648,b'stress-ng-aio', 59672025360,99.71,0.29,109551
21646,b'stress-ng-aio', 59697693287,99.69,0.31,97550
21637,b'stress-ng-aio', 59671388777,99.75,0.25,109188
21630,b'stress-ng-aio', 59672019483,99.69,0.31,110502
21640,b'stress-ng-aio', 59554898179,99.67,0.33,103150
21632,b'stress-ng-aio', 59672024128,99.72,0.28,110146
21645,b'stress-ng-aio', 59671783525,99.73,0.27,102441
21647,b'stress-ng-aio', 59672107893,99.69,0.31,105420
21626,b'stress-ng-aio', 59672560859,99.70,0.30,99103
21628,b'stress-ng-aio', 59672135999,99.72,0.28,107741
21634,b'stress-ng-aio', 59672002930,99.68,0.32,106963
21631,b'stress-ng-aio', 59671810976,99.73,0.27,114216
21642,b'stress-ng-aio', 58993831953,99.63,0.37,98618
21639,b'stress-ng-aio', 59671475097,99.69,0.31,106775
21641,b'stress-ng-aio', 58994154320,99.67,0.33,107182
21625,b'stress-ng-aio', 59698058797,99.72,0.28,103749
