timestamp_ns,pid,prev_pid,cpu,latency_ns,enqueue_ts_ns,dequeue_ts_ns,comm,prev_comm,enqueue_type
2031842338862,29492,29512,0,117061,2031842221801,2031842338862,b'stress-ng-aio',b'stress-ng-aio',2
2031842513974,29489,29511,0,315867,2031842198107,2031842513974,b'stress-ng-aio',b'stress-ng-aio',2
2031842533620,29494,29489,0,294201,2031842239419,2031842533620,b'stress-ng-aio',b'stress-ng-aio',2
2031842883906,29500,29523,0,609592,2031842274314,2031842883906,b'stress-ng-aio',b'stress-ng-aio',2
2031843096178,29505,29514,0,794835,2031842301343,2031843096178,b'stress-ng-aio',b'stress-ng-aio',2
2031843239890,29499,29508,0,557616,2031842682274,2031843239890,b'stress-ng-aio',b'stress-ng-aio',2
2031843272958,29497,29499,0,572175,2031842700783,2031843272958,b'stress-ng-aio',b'stress-ng-aio',2
2031843300093,29484,29497,0,562671,2031842737422,2031843300093,b'stress-ng-aio',b'stress-ng-aio',2
2031843375730,29486,90,0,467912,2031842907818,2031843375730,b'stress-ng-aio',b'kworker/0:1H',2
2031843423493,29504,29523,0,315016,2031843108477,2031843423493,b'stress-ng-aio',b'stress-ng-aio',2
2031843442465,29491,29504,0,154341,2031843288124,2031843442465,b'stress-ng-aio',b'stress-ng-aio',2
2031899656300,29489,90,0,22518,2031899633782,2031899656300,b'stress-ng-aio',b'kworker/0:1H',2
2031899673180,29483,29489,0,24785,2031899648395,2031899673180,b'stress-ng-aio',b'stress-ng-aio',2
2031899697149,29493,29483,0,4061,2031899693088,2031899697149,b'stress-ng-aio',b'stress-ng-aio',2
2031900115461,29485,29516,0,158497,2031899956964,2031900115461,b'stress-ng-aio',b'stress-ng-aio',2
2031900337725,29490,29508,0,267768,2031900069957,2031900337725,b'stress-ng-aio',b'stress-ng-aio',2
2031900349422,29499,29490,0,125685,2031900223737,2031900349422,b'stress-ng-aio',b'stress-ng-aio',2
2031900366600,29493,29499,0,209546,2031900157054,2031900366600,b'stress-ng-aio',b'stress-ng-aio',2
2031900380296,29494,29493,0,110226,2031900270070,2031900380296,b'stress-ng-aio',b'stress-ng-aio',2
2031948764204,29502,90,0,24628,2031948739576,2031948764204,b'stress-ng-aio',b'kworker/0:1H',2
2031948798660,29502,0,0,3413,2031948795247,2031948798660,b'stress-ng-aio',b'swapper/0',2
2031948816697,29502,0,0,3128,2031948813569,2031948816697,b'stress-ng-aio',b'swapper/0',2
2031948833206,29501,0,0,3005,2031948830201,2031948833206,b'stress-ng-aio',b'swapper/0',2
2032023911371,29501,29507,0,70174,2032023841197,2032023911371,b'stress-ng-aio',b'stress-ng-aio',2
2032023940110,29494,29501,0,154551,2032023785559,2032023940110,b'stress-ng-aio',b'stress-ng-aio',2
2032023965173,29492,29494,0,48294,2032023916879,2032023965173,b'stress-ng-aio',b'stress-ng-aio',2
2032023999345,29501,29492,0,15644,2032023983701,2032023999345,b'stress-ng-aio',b'stress-ng-aio',2
2032024046172,29485,29501,0,35241,2032024010931,2032024046172,b'stress-ng-aio',b'stress-ng-aio',2
2032024083033,29497,29485,0,49942,2032024033091,2032024083033,b'stress-ng-aio',b'stress-ng-aio',2
2032024124201,29506,29497,0,24144,2032024100057,2032024124201,b'stress-ng-aio',b'stress-ng-aio',2
2032024148805,29498,29506,0,40057,2032024108748,2032024148805,b'stress-ng-aio',b'stress-ng-aio',2
2032082878130,29492,90,0,228446,2032082649684,2032082878130,b'stress-ng-aio',b'kworker/0:1H',2
2032082908969,29497,29492,0,211748,2032082697221,2032082908969,b'stress-ng-aio',b'stress-ng-aio',2
2032150502701,29505,0,0,42886,2032150459815,2032150502701,b'stress-ng-aio',b'swapper/0',2
2032150537561,29493,29505,0,77360,2032150460201,2032150537561,b'stress-ng-aio',b'stress-ng-aio',2
2032224004933,29488,29524,0,121912,2032223883021,2032224004933,b'stress-ng-aio',b'stress-ng-aio',2
2032224075654,29489,29488,0,177172,2032223898482,2032224075654,b'stress-ng-aio',b'stress-ng-aio',2
2032224105181,29493,29489,0,181925,2032223923256,2032224105181,b'stress-ng-aio',b'stress-ng-aio',2
2032224140554,29506,29493,0,111096,2032224029458,2032224140554,b'stress-ng-aio',b'stress-ng-aio',2
2032224722564,29483,90,0,265610,2032224456954,2032224722564,b'stress-ng-aio',b'kworker/0:1H',2
2032224954277,29499,90,0,108783,2032224845494,2032224954277,b'stress-ng-aio',b'kworker/0:1H',2
2032225016795,29500,0,0,9829,2032225006966,2032225016795,b'stress-ng-aio',b'swapper/0',2
2032225047722,29500,0,0,6004,2032225041718,2032225047722,b'stress-ng-aio',b'swapper/0',2
2032333076485,29497,0,0,31173,2032333045312,2032333076485,b'stress-ng-aio',b'swapper/0',2
2032410846805,29484,90,0,19004,2032410827801,2032410846805,b'stress-ng-aio',b'kworker/0:1H',2
2032474877311,29483,0,0,32322,2032474844989,2032474877311,b'stress-ng-aio',b'swapper/0',2
2032474912887,29490,29483,0,23390,2032474889497,2032474912887,b'stress-ng-aio',b'stress-ng-aio',2
2032474984063,29503,0,0,8214,2032474975849,2032474984063,b'stress-ng-aio',b'swapper/0',2
2032499215015,29499,29512,0,137783,2032499077232,2032499215015,b'stress-ng-aio',b'stress-ng-aio',2
