PID, Comm, Completion Time (ns), Off CPU PCT, ON CPU PCT, AVG RESPONSE TIME (ns)
34962,b'stress-ng-aio', 46935555599,99.84,0.16,2020628
34967,b'stress-ng-cpu', 47740999654,75.02,24.98,5353337
34976,b'stress-ng-cpu', 47789000668,74.78,25.22,7326660
34975,b'stress-ng-cpu', 47700001860,76.23,23.77,5433392
34981,b'stress-ng-cpu', 47709001137,73.54,26.46,14041852
34961,b'stress-ng-cpu', 47801997735,76.17,23.83,5465351
34974,b'stress-ng-cpu', 47604990335,76.20,23.80,5647175
34970,b'stress-ng-aio', 46936803701,99.83,0.17,1929861
34964,b'stress-ng-aio', 47763479148,99.86,0.14,2194968
34973,b'stress-ng-aio', 46764247356,99.86,0.14,1893016
34963,b'stress-ng-cpu', 47804998253,75.88,24.12,5761270
34982,b'stress-ng-cpu', 47722999186,74.99,25.01,9182447
34972,b'stress-ng-cpu', 47812999292,74.48,25.52,5691896
34965,b'stress-ng-cpu', 47724988060,74.98,25.02,6157990
34984,b'stress-ng-cpu', 47761998095,74.32,25.68,10175281
34983,b'stress-ng-cpu', 47673000684,75.05,24.95,10644085
34971,b'stress-ng-cpu', 47797999749,75.55,24.45,5519128
34977,b'stress-ng-cpu', 47807001776,74.06,25.94,9065294
34979,b'stress-ng-cpu', 47778000204,75.59,24.41,10595564
34969,b'stress-ng-cpu', 47763997955,75.71,24.29,5563449
34966,b'stress-ng-aio', 47054907712,99.86,0.14,1763474
34980,b'stress-ng-cpu', 47773017211,75.92,24.08,10454275
34978,b'stress-ng-cpu', 47800996730,75.85,24.15,11006279
34968,b'stress-ng-aio', 46934992582,99.86,0.14,1960527
