PID, Comm, Completion Time (ns), Off CPU PCT, ON CPU PCT, AVG RESPONSE TIME (ns)
119833,b'stress-ng-ring-', 41824192884,75.71,24.29,8026006
119834,b'stress-ng-ring-', 32203000848,76.69,23.31,8127554
119843,b'stress-ng-ring-', 45827998738,76.88,23.12,8079706
119839,b'stress-ng-ring-', 46341999340,76.14,23.86,7856214
119829,b'stress-ng-ring-', 27341159203,77.99,22.01,8884140
119831,b'stress-ng-ring-', 44927998580,76.73,23.27,8372681
119844,b'stress-ng-ring-', 38695000173,82.10,17.90,12762256
119826,b'stress-ng-ring-', 48308998878,73.67,26.33,7100413
119846,b'stress-ng-ring-', 32326998036,82.15,17.85,12878534
119842,b'stress-ng-ring-', 48303999345,82.11,17.89,12992705
119837,b'stress-ng-ring-', 27202997889,79.64,20.36,9814369
119841,b'stress-ng-ring-', 47906998965,77.05,22.95,8392659
119835,b'stress-ng-ring-', 39022997276,80.56,19.44,10929313
119849,b'stress-ng-ring-', 45517002450,76.05,23.95,7764490
119838,b'stress-ng-ring-', 35784001375,80.81,19.19,11680684
119828,b'stress-ng-ring-', 48308188287,77.96,22.04,9166638
119830,b'stress-ng-ring-', 47594148276,76.11,23.89,7709569
119840,b'stress-ng-ring-', 34949999057,75.76,24.24,7598100
119845,b'stress-ng-ring-', 32409998695,79.00,21.00,9722455
119836,b'stress-ng-ring-', 27332999281,78.43,21.57,9061841
119847,b'stress-ng-ring-', 39892999462,78.23,21.77,9388789
119832,b'stress-ng-ring-', 23705999026,81.61,18.39,12456725
119827,b'stress-ng-ring-', 24767000354,79.21,20.79,9925351
119848,b'stress-ng-ring-', 40843998723,75.47,24.53,8414753
