timestamp_ns,pid,prev_pid,cpu,duration_ns,freq_khz,comm,prev_comm,voluntary
8938413812294,119833,119833,0,7280,4000005,b'stress-ng-ring-',b'pkill',1
8938417005325,119834,119834,0,3193031,4000004,b'stress-ng-ring-',b'stress-ng-ring-',1
8938420006529,119833,0,0,3001204,4000001,b'stress-ng-ring-',b'',1
8938424005139,119834,119834,0,3985490,4000008,b'stress-ng-ring-',b'stress-ng-ring-',1
8938427005806,119833,119833,0,3000667,3999972,b'stress-ng-ring-',b'stress-ng-ring-',1
8938431007112,119834,119834,0,4001306,3999997,b'stress-ng-ring-',b'stress-ng-ring-',1
8938438005444,119833,119833,0,6998332,4000015,b'stress-ng-ring-',b'stress-ng-ring-',1
8938445005069,119834,119834,0,6999625,4000001,b'stress-ng-ring-',b'stress-ng-ring-',1
8938452007690,119833,119833,0,7002621,4000005,b'stress-ng-ring-',b'stress-ng-ring-',1
8938456005770,119834,119834,0,3998080,3999986,b'stress-ng-ring-',b'stress-ng-ring-',1
8938459008555,119833,119833,0,3002785,4000003,b'stress-ng-ring-',b'stress-ng-ring-',1
8938463005910,119834,119834,0,3997355,3999997,b'stress-ng-ring-',b'stress-ng-ring-',1
8938466008381,119833,119833,0,3002471,4000011,b'stress-ng-ring-',b'stress-ng-ring-',1
8938469004837,119834,119834,0,2996456,4000030,b'stress-ng-ring-',b'stress-ng-ring-',1
8938472005081,119833,119833,0,3000244,4000000,b'stress-ng-ring-',b'stress-ng-ring-',1
8938476005786,119834,119834,0,4000705,4000002,b'stress-ng-ring-',b'stress-ng-ring-',1
8938480008043,119833,119833,0,4002257,4000004,b'stress-ng-ring-',b'stress-ng-ring-',1
8938484007796,119834,119834,0,3999753,3999992,b'stress-ng-ring-',b'stress-ng-ring-',1
8938488005219,119833,119833,0,3997423,3999970,b'stress-ng-ring-',b'stress-ng-ring-',1
8938491005247,119834,119834,0,3000028,4000025,b'stress-ng-ring-',b'stress-ng-ring-',1
8938494008440,119833,119833,0,3003193,4000010,b'stress-ng-ring-',b'stress-ng-ring-',1
8938498005183,119834,119834,0,3996743,4000000,b'stress-ng-ring-',b'stress-ng-ring-',1
8938501005036,119833,119833,0,2999853,4000005,b'stress-ng-ring-',b'stress-ng-ring-',1
8938505017132,119834,119834,0,4012096,3999988,b'stress-ng-ring-',b'stress-ng-ring-',1
8938509005923,119843,119843,0,3988791,4000022,b'stress-ng-ring-',b'stress-ng-ring-',1
8938516008439,119833,119833,0,7002516,4000000,b'stress-ng-ring-',b'stress-ng-ring-',1
8938520005628,119843,119843,0,3997189,3999997,b'stress-ng-ring-',b'stress-ng-ring-',1
8938527009777,119834,119834,0,7004149,3999978,b'stress-ng-ring-',b'stress-ng-ring-',1
8938531008329,119833,119833,0,3998552,4000016,b'stress-ng-ring-',b'stress-ng-ring-',1
8938535005993,119843,119843,0,3997664,3999980,b'stress-ng-ring-',b'stress-ng-ring-',1
8938538005143,119834,119834,0,2999150,4000000,b'stress-ng-ring-',b'stress-ng-ring-',1
8938541005664,119833,119833,0,3000521,3999994,b'stress-ng-ring-',b'stress-ng-ring-',1
8938545005749,119843,119843,0,4000085,4000010,b'stress-ng-ring-',b'stress-ng-ring-',1
8938549005760,119834,119834,0,4000011,4000016,b'stress-ng-ring-',b'stress-ng-ring-',1
8938552009149,119833,119833,0,3003389,4000001,b'stress-ng-ring-',b'stress-ng-ring-',1
8938556005566,119843,119843,0,3996417,3999999,b'stress-ng-ring-',b'stress-ng-ring-',1
8938559005868,119833,119833,0,3000302,3999990,b'stress-ng-ring-',b'stress-ng-ring-',1
8938563007018,119834,119834,0,4001150,3999990,b'stress-ng-ring-',b'stress-ng-ring-',1
8938566008128,119833,119833,0,3001110,4000019,b'stress-ng-ring-',b'stress-ng-ring-',1
8938570004973,119834,119834,0,3996845,3999984,b'stress-ng-ring-',b'stress-ng-ring-',1
8938573005469,119833,119833,0,3000496,4000000,b'stress-ng-ring-',b'stress-ng-ring-',1
8938577005765,119834,119834,0,4000296,3999984,b'stress-ng-ring-',b'stress-ng-ring-',1
8938584005452,119833,119833,0,6999687,3999995,b'stress-ng-ring-',b'stress-ng-ring-',1
8938591005265,119834,119834,0,6999813,4000018,b'stress-ng-ring-',b'stress-ng-ring-',1
8938598005083,119833,119833,0,6999818,4000014,b'stress-ng-ring-',b'stress-ng-ring-',1
8938602006053,119834,119834,0,4000970,3999997,b'stress-ng-ring-',b'stress-ng-ring-',1
8938606005161,119833,119833,0,3999108,3999985,b'stress-ng-ring-',b'stress-ng-ring-',1
8938612004803,119834,119834,0,5999642,4000018,b'stress-ng-ring-',b'stress-ng-ring-',1
8938615005124,119833,119833,0,3000321,4000022,b'stress-ng-ring-',b'stress-ng-ring-',1
8938619004781,119834,119834,0,3999657,4000011,b'stress-ng-ring-',b'stress-ng-ring-',1
8938626005152,119833,119833,0,7000371,3999991,b'stress-ng-ring-',b'stress-ng-ring-',1
8938630014843,119834,119834,0,4009691,4000004,b'stress-ng-ring-',b'stress-ng-ring-',1
8938634004948,119833,119833,0,3990105,4000012,b'stress-ng-ring-',b'stress-ng-ring-',1
8938637005112,119834,119834,0,3000164,3999998,b'stress-ng-ring-',b'stress-ng-ring-',1
8938641005554,119839,119839,0,4000442,3999996,b'stress-ng-ring-',b'stress-ng-ring-',1
8938645004959,119834,119834,0,3999405,4000003,b'stress-ng-ring-',b'stress-ng-ring-',1
8938648008348,119833,119833,0,3003389,3999987,b'stress-ng-ring-',b'stress-ng-ring-',1
8938652005664,119839,119839,0,3997316,4000002,b'stress-ng-ring-',b'stress-ng-ring-',1
8938655005021,119833,119833,0,2999357,4000004,b'stress-ng-ring-',b'stress-ng-ring-',1
8938658005667,119834,119834,0,3000646,4000003,b'stress-ng-ring-',b'stress-ng-ring-',1
8938662006004,119839,119839,0,4000337,3999980,b'stress-ng-ring-',b'stress-ng-ring-',1
8938665006378,119833,119833,0,3000374,4000011,b'stress-ng-ring-',b'stress-ng-ring-',1
8938669004899,119834,119834,0,3998521,4000008,b'stress-ng-ring-',b'stress-ng-ring-',1
8938672005621,119833,119833,0,3000722,3999978,b'stress-ng-ring-',b'stress-ng-ring-',1
8938675005800,119839,119839,0,3000179,3999984,b'stress-ng-ring-',b'stress-ng-ring-',1
8938679005895,119834,119834,0,4000095,4000008,b'stress-ng-ring-',b'stress-ng-ring-',1
8938683005659,119833,119833,0,3999764,4000009,b'stress-ng-ring-',b'stress-ng-ring-',1
8938689005812,119839,119839,0,6000153,4000024,b'stress-ng-ring-',b'stress-ng-ring-',1
8938693005760,119833,119833,0,3999948,4000005,b'stress-ng-ring-',b'stress-ng-ring-',1
8938696005751,119839,119839,0,2999991,3999988,b'stress-ng-ring-',b'stress-ng-ring-',1
8938700005505,119833,119833,0,3999754,4000009,b'stress-ng-ring-',b'stress-ng-ring-',1
8938703007927,119839,119839,0,3002422,3999992,b'stress-ng-ring-',b'stress-ng-ring-',1
8938707006183,119833,119833,0,3998256,3999993,b'stress-ng-ring-',b'stress-ng-ring-',1
8938713007757,119839,119839,0,6001574,3999991,b'stress-ng-ring-',b'stress-ng-ring-',1
8938717005662,119833,119833,0,3997905,4000023,b'stress-ng-ring-',b'stress-ng-ring-',1
