timestamp_ns,pid,prev_pid,cpu,latency_ns,enqueue_ts_ns,dequeue_ts_ns,comm,prev_comm,enqueue_type
8938413805014,119833,119645,0,5918,8938413799096,8938413805014,b'stress-ng-ring-',b'stress-ng',2
8938413812294,119834,119833,0,2413,8938413809881,8938413812294,b'stress-ng-ring-',b'stress-ng-ring-',2
8938417005325,119833,119834,0,3193031,8938413812294,8938417005325,b'stress-ng-ring-',b'stress-ng-ring-',2
8938420019649,119834,119645,0,3014324,8938417005325,8938420019649,b'stress-ng-ring-',b'stress-ng',2
8938424005139,119833,119834,0,3998610,8938420006529,8938424005139,b'stress-ng-ring-',b'stress-ng-ring-',2
8938427005806,119834,119833,0,3000667,8938424005139,8938427005806,b'stress-ng-ring-',b'stress-ng-ring-',2
8938431007112,119833,119834,0,4001306,8938427005806,8938431007112,b'stress-ng-ring-',b'stress-ng-ring-',2
8938438005444,119834,119833,0,6998332,8938431007112,8938438005444,b'stress-ng-ring-',b'stress-ng-ring-',2
8938445005069,119833,119834,0,6999625,8938438005444,8938445005069,b'stress-ng-ring-',b'stress-ng-ring-',2
8938452007690,119834,119833,0,7002621,8938445005069,8938452007690,b'stress-ng-ring-',b'stress-ng-ring-',2
8938456005770,119833,119834,0,3998080,8938452007690,8938456005770,b'stress-ng-ring-',b'stress-ng-ring-',2
8938459008555,119834,119833,0,3002785,8938456005770,8938459008555,b'stress-ng-ring-',b'stress-ng-ring-',2
8938463005910,119833,119834,0,3997355,8938459008555,8938463005910,b'stress-ng-ring-',b'stress-ng-ring-',2
8938466008381,119834,119833,0,3002471,8938463005910,8938466008381,b'stress-ng-ring-',b'stress-ng-ring-',2
8938469004837,119833,119834,0,2996456,8938466008381,8938469004837,b'stress-ng-ring-',b'stress-ng-ring-',2
8938472005081,119834,119833,0,3000244,8938469004837,8938472005081,b'stress-ng-ring-',b'stress-ng-ring-',2
8938476005786,119833,119834,0,4000705,8938472005081,8938476005786,b'stress-ng-ring-',b'stress-ng-ring-',2
8938480008043,119834,119833,0,4002257,8938476005786,8938480008043,b'stress-ng-ring-',b'stress-ng-ring-',2
8938484007796,119833,119834,0,3999753,8938480008043,8938484007796,b'stress-ng-ring-',b'stress-ng-ring-',2
8938488005219,119834,119833,0,3997423,8938484007796,8938488005219,b'stress-ng-ring-',b'stress-ng-ring-',2
8938491005247,119833,119834,0,3000028,8938488005219,8938491005247,b'stress-ng-ring-',b'stress-ng-ring-',2
8938494008440,119834,119833,0,3003193,8938491005247,8938494008440,b'stress-ng-ring-',b'stress-ng-ring-',2
8938498005183,119833,119834,0,3996743,8938494008440,8938498005183,b'stress-ng-ring-',b'stress-ng-ring-',2
8938501005036,119834,119833,0,2999853,8938498005183,8938501005036,b'stress-ng-ring-',b'stress-ng-ring-',2
8938505017132,119843,119834,0,6011185,8938499005947,8938505017132,b'stress-ng-ring-',b'stress-ng-ring-',2
8938509005923,119833,119843,0,8000887,8938501005036,8938509005923,b'stress-ng-ring-',b'stress-ng-ring-',2
8938516008439,119843,119833,0,7002516,8938509005923,8938516008439,b'stress-ng-ring-',b'stress-ng-ring-',2
8938520005628,119834,119843,0,14988496,8938505017132,8938520005628,b'stress-ng-ring-',b'stress-ng-ring-',2
8938527009777,119833,119834,0,11001338,8938516008439,8938527009777,b'stress-ng-ring-',b'stress-ng-ring-',2
8938531008329,119843,119833,0,11002701,8938520005628,8938531008329,b'stress-ng-ring-',b'stress-ng-ring-',2
8938535005993,119834,119843,0,7996216,8938527009777,8938535005993,b'stress-ng-ring-',b'stress-ng-ring-',2
8938538005143,119833,119834,0,6996814,8938531008329,8938538005143,b'stress-ng-ring-',b'stress-ng-ring-',2
8938541005664,119843,119833,0,5999671,8938535005993,8938541005664,b'stress-ng-ring-',b'stress-ng-ring-',2
8938545005749,119834,119843,0,7000606,8938538005143,8938545005749,b'stress-ng-ring-',b'stress-ng-ring-',2
8938549005760,119833,119834,0,8000096,8938541005664,8938549005760,b'stress-ng-ring-',b'stress-ng-ring-',2
8938552009149,119843,119833,0,7003400,8938545005749,8938552009149,b'stress-ng-ring-',b'stress-ng-ring-',2
8938556005566,119833,119843,0,3996417,8938552009149,8938556005566,b'stress-ng-ring-',b'stress-ng-ring-',2
8938559005868,119834,119833,0,10000108,8938549005760,8938559005868,b'stress-ng-ring-',b'stress-ng-ring-',2
8938563007018,119833,119834,0,4001150,8938559005868,8938563007018,b'stress-ng-ring-',b'stress-ng-ring-',2
8938566008128,119834,119833,0,3001110,8938563007018,8938566008128,b'stress-ng-ring-',b'stress-ng-ring-',2
8938570004973,119833,119834,0,3996845,8938566008128,8938570004973,b'stress-ng-ring-',b'stress-ng-ring-',2
8938573005469,119834,119833,0,3000496,8938570004973,8938573005469,b'stress-ng-ring-',b'stress-ng-ring-',2
8938577005765,119833,119834,0,4000296,8938573005469,8938577005765,b'stress-ng-ring-',b'stress-ng-ring-',2
8938584005452,119834,119833,0,6999687,8938577005765,8938584005452,b'stress-ng-ring-',b'stress-ng-ring-',2
8938591005265,119833,119834,0,6999813,8938584005452,8938591005265,b'stress-ng-ring-',b'stress-ng-ring-',2
8938598005083,119834,119833,0,6999818,8938591005265,8938598005083,b'stress-ng-ring-',b'stress-ng-ring-',2
8938602006053,119833,119834,0,4000970,8938598005083,8938602006053,b'stress-ng-ring-',b'stress-ng-ring-',2
8938606005161,119834,119833,0,3999108,8938602006053,8938606005161,b'stress-ng-ring-',b'stress-ng-ring-',2
8938612004803,119833,119834,0,5999642,8938606005161,8938612004803,b'stress-ng-ring-',b'stress-ng-ring-',2
8938615005124,119834,119833,0,3000321,8938612004803,8938615005124,b'stress-ng-ring-',b'stress-ng-ring-',2
8938619004781,119833,119834,0,3999657,8938615005124,8938619004781,b'stress-ng-ring-',b'stress-ng-ring-',2
8938626005152,119834,119833,0,7000371,8938619004781,8938626005152,b'stress-ng-ring-',b'stress-ng-ring-',2
8938630014843,119833,119834,0,4009691,8938626005152,8938630014843,b'stress-ng-ring-',b'stress-ng-ring-',2
8938634004948,119834,119833,0,3990105,8938630014843,8938634004948,b'stress-ng-ring-',b'stress-ng-ring-',2
8938637005112,119839,119834,0,10999769,8938626005343,8938637005112,b'stress-ng-ring-',b'stress-ng-ring-',2
8938641005554,119834,119839,0,4000442,8938637005112,8938641005554,b'stress-ng-ring-',b'stress-ng-ring-',2
8938645004959,119833,119834,0,11000011,8938634004948,8938645004959,b'stress-ng-ring-',b'stress-ng-ring-',2
8938648008348,119839,119833,0,7002794,8938641005554,8938648008348,b'stress-ng-ring-',b'stress-ng-ring-',2
8938652005664,119833,119839,0,3997316,8938648008348,8938652005664,b'stress-ng-ring-',b'stress-ng-ring-',2
8938655005021,119834,119833,0,10000062,8938645004959,8938655005021,b'stress-ng-ring-',b'stress-ng-ring-',2
8938658005667,119839,119834,0,6000003,8938652005664,8938658005667,b'stress-ng-ring-',b'stress-ng-ring-',2
8938662006004,119833,119839,0,7000983,8938655005021,8938662006004,b'stress-ng-ring-',b'stress-ng-ring-',2
8938665006378,119834,119833,0,7000711,8938658005667,8938665006378,b'stress-ng-ring-',b'stress-ng-ring-',2
8938669004899,119833,119834,0,3998521,8938665006378,8938669004899,b'stress-ng-ring-',b'stress-ng-ring-',2
8938672005621,119839,119833,0,9999617,8938662006004,8938672005621,b'stress-ng-ring-',b'stress-ng-ring-',2
8938675005800,119834,119839,0,6000901,8938669004899,8938675005800,b'stress-ng-ring-',b'stress-ng-ring-',2
8938679005895,119833,119834,0,7000274,8938672005621,8938679005895,b'stress-ng-ring-',b'stress-ng-ring-',2
8938683005659,119839,119833,0,7999859,8938675005800,8938683005659,b'stress-ng-ring-',b'stress-ng-ring-',2
8938689005812,119833,119839,0,6000153,8938683005659,8938689005812,b'stress-ng-ring-',b'stress-ng-ring-',2
8938693005760,119839,119833,0,3999948,8938689005812,8938693005760,b'stress-ng-ring-',b'stress-ng-ring-',2
8938696005751,119833,119839,0,2999991,8938693005760,8938696005751,b'stress-ng-ring-',b'stress-ng-ring-',2
8938700005505,119839,119833,0,3999754,8938696005751,8938700005505,b'stress-ng-ring-',b'stress-ng-ring-',2
8938703007927,119833,119839,0,3002422,8938700005505,8938703007927,b'stress-ng-ring-',b'stress-ng-ring-',2
8938707006183,119839,119833,0,3998256,8938703007927,8938707006183,b'stress-ng-ring-',b'stress-ng-ring-',2
8938713007757,119833,119839,0,6001574,8938707006183,8938713007757,b'stress-ng-ring-',b'stress-ng-ring-',2
8938717005662,119839,119833,0,3997905,8938713007757,8938717005662,b'stress-ng-ring-',b'stress-ng-ring-',2
8938720008110,119833,119839,0,3002448,8938717005662,8938720008110,b'stress-ng-ring-',b'stress-ng-ring-',2
