PID, Comm, Completion Time (ns), Off CPU PCT, ON CPU PCT, AVG RESPONSE TIME (ns)
121210,b'stress-ng-ring-', 56903000944,79.81,20.19,24231590
121211,b'stress-ng-ring-', 56853227313,78.45,21.55,27478672
121214,b'stress-ng-ring-', 56929179568,79.92,20.08,25387161
121213,b'stress-ng-ring-', 56751997593,80.18,19.82,22540773
121212,b'stress-ng-ring-', 56671995480,80.83,19.17,24331059
121217,b'stress-ng-ring-', 56897997227,82.26,17.74,19510502
121222,b'stress-ng-ring-', 56917986099,81.36,18.64,21516478
121230,b'stress-ng-ring-', 56893986508,80.55,19.45,23019462
121216,b'stress-ng-ring-', 56810007978,80.83,19.17,23522735
121221,b'stress-ng-ring-', 56849985371,80.24,19.76,23614205
121228,b'stress-ng-ring-', 56716989250,79.87,20.13,25047617
121208,b'stress-ng-ring-', 56961994780,81.59,18.41,21985913
121226,b'stress-ng-ring-', 56740982528,79.80,20.20,25932652
121227,b'stress-ng-ring-', 56920986214,79.04,20.96,27225605
121220,b'stress-ng-ring-', 56829996809,78.08,21.92,28481168
121225,b'stress-ng-ring-', 56828978870,79.03,20.97,27007476
121215,b'stress-ng-ring-', 56383995777,80.43,19.57,25009450
121223,b'stress-ng-ring-', 56855984444,77.31,22.69,28382953
121219,b'stress-ng-ring-', 55942988136,80.54,19.46,23502074
121218,b'stress-ng-ring-', 56359996976,78.04,21.96,28291396
121229,b'stress-ng-ring-', 56932984202,80.84,19.16,22789168
121224,b'stress-ng-ring-', 56535981414,78.22,21.78,27912010
121231,b'stress-ng-ring-', 56877989352,80.95,19.05,23059877
121209,b'stress-ng-ring-', 56732993698,80.27,19.73,24551850
