timestamp_ns,pid,prev_pid,cpu,duration_ns,freq_khz,comm,prev_comm,voluntary
9057258781688,121211,0,1,17202,3999997,b'stress-ng-ring-',b'',1
9057258828896,121214,121214,1,28782,3999987,b'stress-ng-ring-',b'pkill',1
9057259011710,121213,121213,1,182814,4000007,b'stress-ng-ring-',b'pkill',1
9057267013651,121212,121212,1,8001941,3999997,b'stress-ng-ring-',b'pkill',1
9057272015992,121217,121217,1,5002341,4000005,b'stress-ng-ring-',b'pkill',1
9057277023514,121222,121222,1,5007522,3999986,b'stress-ng-ring-',b'stress-ng-ring-',1
9057282027103,121211,121211,1,5003589,4000000,b'stress-ng-ring-',b'pkill',1
9057289022167,121230,121230,1,6995064,3999982,b'stress-ng-ring-',b'stress-ng-ring-',1
9057294022953,121214,121214,1,5000786,3999992,b'stress-ng-ring-',b'stress-ng-ring-',1
9057302008966,121210,121210,1,7986013,4000022,b'stress-ng-ring-',b'stress-ng-ring-',1
9057312013459,121216,121216,1,10004493,3999997,b'stress-ng-ring-',b'stress-ng-ring-',1
9057319010168,121221,121221,1,6996709,3999997,b'stress-ng-ring-',b'stress-ng-ring-',1
9057324010955,121228,121228,1,5000787,4000009,b'stress-ng-ring-',b'stress-ng-ring-',1
9057329009165,121213,121213,1,4998210,4000004,b'stress-ng-ring-',b'stress-ng-ring-',1
9057334010823,121208,121208,1,5001658,4000001,b'stress-ng-ring-',b'stress-ng-ring-',1
9057342033363,121226,0,1,8022540,4000017,b'stress-ng-ring-',b'',1
9057352006946,121210,121210,1,9921195,3999995,b'stress-ng-ring-',b'stress-ng-ring-',1
9057359010909,121213,121213,1,7003963,4000011,b'stress-ng-ring-',b'stress-ng-ring-',1
9057367019649,121211,121211,1,8008740,3999989,b'stress-ng-ring-',b'stress-ng-ring-',1
9057375009172,121222,121222,1,7989523,3999996,b'stress-ng-ring-',b'stress-ng-ring-',1
9057383011301,121214,121214,1,8002129,4000006,b'stress-ng-ring-',b'stress-ng-ring-',1
