timestamp_ns,pid,prev_pid,cpu,latency_ns,enqueue_ts_ns,dequeue_ts_ns,comm,prev_comm,enqueue_type
9057258755650,121210,0,0,13478,9057258742172,9057258755650,b'stress-ng-ring-',b'swapper/0',2
9057258764486,121211,121104,1,17147,9057258747339,9057258764486,b'stress-ng-ring-',b'stress-ng',2
9057258800114,121214,121104,1,35670,9057258764444,9057258800114,b'stress-ng-ring-',b'stress-ng',2
9057258828896,121213,121214,1,68391,9057258760505,9057258828896,b'stress-ng-ring-',b'stress-ng-ring-',2
9057259011710,121212,121213,1,259743,9057258751967,9057259011710,b'stress-ng-ring-',b'stress-ng-ring-',2
9057267013651,121217,121212,1,8237956,9057258775695,9057267013651,b'stress-ng-ring-',b'stress-ng-ring-',2
9057272015992,121222,121217,1,13221436,9057258794556,9057272015992,b'stress-ng-ring-',b'stress-ng-ring-',2
9057277023514,121211,121222,1,18241826,9057258781688,9057277023514,b'stress-ng-ring-',b'stress-ng-ring-',2
9057282027103,121230,121211,1,23202810,9057258824293,9057282027103,b'stress-ng-ring-',b'stress-ng-ring-',2
9057289022167,121214,121230,1,30193271,9057258828896,9057289022167,b'stress-ng-ring-',b'stress-ng-ring-',2
9057294022953,121210,121214,1,29014616,9057265008337,9057294022953,b'stress-ng-ring-',b'stress-ng-ring-',2
9057302008966,121216,121210,1,29000429,9057273008537,9057302008966,b'stress-ng-ring-',b'stress-ng-ring-',2
9057312013459,121221,121216,1,32989353,9057279024106,9057312013459,b'stress-ng-ring-',b'stress-ng-ring-',2
9057319010168,121228,121221,1,35988260,9057283021908,9057319010168,b'stress-ng-ring-',b'stress-ng-ring-',2
9057324010955,121213,121228,1,30000689,9057294010266,9057324010955,b'stress-ng-ring-',b'stress-ng-ring-',2
9057329009165,121208,121213,1,33998758,9057295010407,9057329009165,b'stress-ng-ring-',b'stress-ng-ring-',2
9057334010823,121226,121208,1,42982464,9057291028359,9057334010823,b'stress-ng-ring-',b'stress-ng-ring-',2
9057342085751,121210,81,1,40076785,9057302008966,9057342085751,b'stress-ng-ring-',b'kworker/1:1',2
9057352006946,121213,121210,1,22997781,9057329009165,9057352006946,b'stress-ng-ring-',b'stress-ng-ring-',2
9057359010909,121211,121213,1,34000157,9057325010752,9057359010909,b'stress-ng-ring-',b'stress-ng-ring-',2
9057367019649,121222,121211,1,49009866,9057318009783,9057367019649,b'stress-ng-ring-',b'stress-ng-ring-',2
9057375009172,121214,121222,1,9002678,9057366006494,9057375009172,b'stress-ng-ring-',b'stress-ng-ring-',2
9057383011301,121227,121214,1,58000390,9057325010911,9057383011301,b'stress-ng-ring-',b'stress-ng-ring-',2
9057391012854,121220,121227,1,17007388,9057374005466,9057391012854,b'stress-ng-ring-',b'stress-ng-ring-',2
9057401012270,121225,121220,1,58002169,9057343010101,9057401012270,b'stress-ng-ring-',b'stress-ng-ring-',2
9057411030519,121213,81,1,29017615,9057382012904,9057411030519,b'stress-ng-ring-',b'kworker/1:1',2
9057421013020,121215,121213,1,28005379,9057393007641,9057421013020,b'stress-ng-ring-',b'stress-ng-ring-',2
9057429008081,121228,121215,1,31997978,9057397010103,9057429008081,b'stress-ng-ring-',b'stress-ng-ring-',2
9057437010445,121223,121228,1,30001888,9057407008557,9057437010445,b'stress-ng-ring-',b'stress-ng-ring-',2
9057448009203,121217,121223,1,28997121,9057419012082,9057448009203,b'stress-ng-ring-',b'stress-ng-ring-',2
9057461012402,121219,121217,1,31002200,9057430010202,9057461012402,b'stress-ng-ring-',b'stress-ng-ring-',2
9057474007399,121228,121219,1,36996954,9057437010445,9057474007399,b'stress-ng-ring-',b'stress-ng-ring-',2
9057484008714,121218,121228,1,25000224,9057459008490,9057484008714,b'stress-ng-ring-',b'stress-ng-ring-',2
9057497009360,121219,121218,1,23001961,9057474007399,9057497009360,b'stress-ng-ring-',b'stress-ng-ring-',2
9057510011248,121225,121219,1,56998546,9057453012702,9057510011248,b'stress-ng-ring-',b'stress-ng-ring-',2
9057523011386,121211,121225,1,26999487,9057496011899,9057523011386,b'stress-ng-ring-',b'stress-ng-ring-',2
9057531008028,121228,121211,1,46999314,9057484008714,9057531008028,b'stress-ng-ring-',b'stress-ng-ring-',2
9057542009559,121208,121228,1,34996331,9057507013228,9057542009559,b'stress-ng-ring-',b'stress-ng-ring-',2
9057551013780,121212,121208,1,29003126,9057522010654,9057551013780,b'stress-ng-ring-',b'stress-ng-ring-',2
9057564012106,121229,121212,1,31002372,9057533009734,9057564012106,b'stress-ng-ring-',b'stress-ng-ring-',2
9057575009636,121224,121229,1,37997956,9057537011680,9057575009636,b'stress-ng-ring-',b'stress-ng-ring-',2
9057588009752,121215,121224,1,28992477,9057559017275,9057588009752,b'stress-ng-ring-',b'stress-ng-ring-',2
9057601026864,121211,81,1,29018088,9057572008776,9057601026864,b'stress-ng-ring-',b'kworker/1:1',2
9057612013930,121217,121211,1,24007251,9057588006679,9057612013930,b'stress-ng-ring-',b'stress-ng-ring-',2
9057625013920,121210,121217,1,22005824,9057603008096,9057625013920,b'stress-ng-ring-',b'stress-ng-ring-',2
9057638019782,121230,121210,1,49013044,9057589006738,9057638019782,b'stress-ng-ring-',b'stress-ng-ring-',2
9057642009141,121213,121230,1,17998113,9057624011028,9057642009141,b'stress-ng-ring-',b'stress-ng-ring-',2
9057650007795,121217,121213,1,24993875,9057625013920,9057650007795,b'stress-ng-ring-',b'stress-ng-ring-',2
9057655009831,121229,121217,1,19000743,9057636009088,9057655009831,b'stress-ng-ring-',b'stress-ng-ring-',2
