timestamp_ns,waker_pid,target_pid,cpu,latency_ns,waker_comm,target_comm,waker_kernel_stack,target_state,waker_cpu,target_cpu
9057258695137,121281,121208,7,0,b'pkill',b'stress-ng-ring-',,0,0,7
9057258718746,121281,121209,7,0,b'pkill',b'stress-ng-ring-',,0,0,7
9057258742172,121281,121210,7,0,b'pkill',b'stress-ng-ring-',,0,0,7
9057258747339,121281,121211,7,0,b'pkill',b'stress-ng-ring-',,0,0,7
9057258751967,121281,121212,7,0,b'pkill',b'stress-ng-ring-',,0,0,7
9057258760505,121281,121213,7,0,b'pkill',b'stress-ng-ring-',,0,0,7
9057258764444,121281,121214,7,0,b'pkill',b'stress-ng-ring-',,0,0,7
9057258768381,121281,121215,7,0,b'pkill',b'stress-ng-ring-',,0,0,7
9057258771811,121281,121216,7,0,b'pkill',b'stress-ng-ring-',,0,0,7
9057258775695,121281,121217,7,0,b'pkill',b'stress-ng-ring-',,0,0,7
9057258779618,121281,121218,7,0,b'pkill',b'stress-ng-ring-',,0,0,7
9057258783451,121281,121219,7,0,b'pkill',b'stress-ng-ring-',,0,0,7
9057258787206,121281,121220,7,0,b'pkill',b'stress-ng-ring-',,0,0,7
9057258790659,121281,121221,7,0,b'pkill',b'stress-ng-ring-',,0,0,7
9057258794556,121281,121222,7,0,b'pkill',b'stress-ng-ring-',,0,0,7
9057258799119,121281,121223,7,0,b'pkill',b'stress-ng-ring-',,0,0,7
9057258802613,121281,121224,7,0,b'pkill',b'stress-ng-ring-',,0,0,7
9057258806037,121281,121225,7,0,b'pkill',b'stress-ng-ring-',,0,0,7
9057258809361,121281,121226,7,0,b'pkill',b'stress-ng-ring-',,0,0,7
9057258813159,121281,121227,7,0,b'pkill',b'stress-ng-ring-',,0,0,7
9057258816493,121281,121228,7,0,b'pkill',b'stress-ng-ring-',,0,0,7
9057258820357,121281,121229,7,0,b'pkill',b'stress-ng-ring-',,0,0,7
9057258824293,121281,121230,7,0,b'pkill',b'stress-ng-ring-',,0,0,7
9057258828122,121281,121231,7,0,b'pkill',b'stress-ng-ring-',,0,0,7
