PID, Comm, Completion Time (ns), Off CPU PCT, ON CPU PCT, AVG RESPONSE TIME (ns)
124086,b'stress-ng-ring-', 42879999138,79.13,20.87,5093503
124078,b'stress-ng-ring-', 42953998028,79.58,20.42,5151414
124079,b'stress-ng-ring-', 42944999217,79.91,20.09,5079244
124075,b'stress-ng-ring-', 42946997607,79.47,20.53,5073044
124081,b'stress-ng-ring-', 42953997553,79.73,20.27,5137152
124076,b'stress-ng-ring-', 42911998193,79.91,20.09,5142647
124091,b'stress-ng-ring-', 42929998437,79.68,20.32,5112666
124084,b'stress-ng-ring-', 42925992491,79.96,20.04,5141967
124077,b'stress-ng-ring-', 42889990482,79.78,20.22,5095573
124082,b'stress-ng-ring-', 42829999530,79.31,20.69,5121790
124095,b'stress-ng-ring-', 42890009102,79.53,20.47,5130021
124093,b'stress-ng-ring-', 42928003430,79.95,20.05,5149732
124080,b'stress-ng-ring-', 42949991368,79.36,20.64,5088325
124096,b'stress-ng-ring-', 42885001187,79.83,20.17,5103032
124083,b'stress-ng-ring-', 42888990811,79.76,20.24,5147563
124089,b'stress-ng-ring-', 42901998261,80.19,19.81,5138549
124094,b'stress-ng-ring-', 42920990301,79.63,20.37,5098325
124073,b'stress-ng-ring-', 42861001438,79.96,20.04,5179562
124092,b'stress-ng-ring-', 42911994365,80.06,19.94,5174219
124085,b'stress-ng-ring-', 42807999765,79.66,20.34,5082304
124088,b'stress-ng-ring-', 42942998375,79.76,20.24,5202076
124090,b'stress-ng-ring-', 42915997283,79.85,20.15,5096384
124087,b'stress-ng-ring-', 42884006563,79.55,20.45,5197319
124074,b'stress-ng-ring-', 42951999466,80.04,19.96,5187871
