PID, Comm, Completion Time (ns), Off CPU PCT, ON CPU PCT, AVG RESPONSE TIME (ns)
122663,b'stress-ng-ring-', 59632998256,79.55,20.45,63610541
122668,b'stress-ng-ring-', 56945006725,79.75,20.25,62419160
122664,b'stress-ng-ring-', 59275985758,79.53,20.47,63121431
122665,b'stress-ng-ring-', 59170998009,79.69,20.31,63264532
122666,b'stress-ng-ring-', 59793373025,79.76,20.24,59127192
122667,b'stress-ng-ring-', 59717001896,80.08,19.92,61804721
122677,b'stress-ng-ring-', 59065984789,79.73,20.27,62341837
122676,b'stress-ng-ring-', 59729609281,79.69,20.31,63165463
122682,b'stress-ng-ring-', 58583003377,79.53,20.47,62575478
122683,b'stress-ng-ring-', 59570002464,79.97,20.03,62625491
122685,b'stress-ng-ring-', 59717002838,79.56,20.44,61234626
122672,b'stress-ng-ring-', 59695998145,79.19,20.81,62298504
122674,b'stress-ng-ring-', 57868997927,79.72,20.28,60919256
122670,b'stress-ng-ring-', 59191998611,79.20,20.80,62978638
122678,b'stress-ng-ring-', 59486003098,79.37,20.63,63526115
122686,b'stress-ng-ring-', 59632991855,79.65,20.35,63417361
122669,b'stress-ng-ring-', 59717001903,79.70,20.30,62797431
122684,b'stress-ng-ring-', 59275995616,79.38,20.62,62155083
122671,b'stress-ng-ring-', 59465000852,79.53,20.47,62882490
122681,b'stress-ng-ring-', 59444003619,79.62,20.38,63384558
122679,b'stress-ng-ring-', 59612002544,79.41,20.59,63438590
122675,b'stress-ng-ring-', 58624993938,79.31,20.69,63361913
122673,b'stress-ng-ring-', 57406998593,79.85,20.15,60973532
122680,b'stress-ng-ring-', 59771998612,79.85,20.15,63456424
