timestamp_ns,pid,prev_pid,cpu,duration_ns,freq_khz,comm,prev_comm,voluntary
9177039022952,122664,122664,1,20769711,4000011,b'stress-ng-ring-',b'pkill',1
9177060024885,122677,122677,1,21001933,3999994,b'stress-ng-ring-',b'stress-ng-ring-',1
9177081010060,122665,122665,1,20985175,4000013,b'stress-ng-ring-',b'pkill',1
9177102009044,122676,122676,1,20998984,4000000,b'stress-ng-ring-',b'stress-ng-ring-',1
9177123006171,122682,122682,1,20997127,4000004,b'stress-ng-ring-',b'stress-ng-ring-',1
9177144011142,122664,122664,1,21004971,4000018,b'stress-ng-ring-',b'stress-ng-ring-',1
9177165010372,122683,122683,1,20999230,4000007,b'stress-ng-ring-',b'stress-ng-ring-',1
9177186010690,122682,122682,1,21000318,4000008,b'stress-ng-ring-',b'stress-ng-ring-',1
9177207007111,122685,122685,1,20996421,3999976,b'stress-ng-ring-',b'stress-ng-ring-',1
9177228014992,122664,122664,1,21007881,4000009,b'stress-ng-ring-',b'stress-ng-ring-',1
9177249008365,122665,122665,1,20993373,3999992,b'stress-ng-ring-',b'stress-ng-ring-',1
9177270009998,122672,122672,1,21001633,4000022,b'stress-ng-ring-',b'stress-ng-ring-',1
9177291011477,122683,122683,1,21001479,4000005,b'stress-ng-ring-',b'stress-ng-ring-',1
9177312007589,122674,122674,1,20996112,3999992,b'stress-ng-ring-',b'stress-ng-ring-',1
9177333008423,122685,122685,1,21000834,3999966,b'stress-ng-ring-',b'stress-ng-ring-',1
9177354008554,122672,122672,1,21000131,3999993,b'stress-ng-ring-',b'stress-ng-ring-',1
9177375008270,122666,122666,1,20999716,4000005,b'stress-ng-ring-',b'stress-ng-ring-',1
9177396011510,122674,122674,1,21003240,3999990,b'stress-ng-ring-',b'stress-ng-ring-',1
9177417010680,122670,122670,1,20999170,3999999,b'stress-ng-ring-',b'stress-ng-ring-',1
9177438025777,122678,122678,1,21015097,4000014,b'stress-ng-ring-',b'stress-ng-ring-',1
9177459014070,122686,122686,1,20988293,3999995,b'stress-ng-ring-',b'stress-ng-ring-',1
9177480006880,122682,0,1,20992810,3999996,b'stress-ng-ring-',b'',1
9177501014846,122668,122668,1,20989953,4000017,b'stress-ng-ring-',b'stress-ng-ring-',1
9177522007090,122683,122683,1,20992244,3999994,b'stress-ng-ring-',b'stress-ng-ring-',1
9177543010559,122678,122678,1,21003469,3999999,b'stress-ng-ring-',b'stress-ng-ring-',1
9177564007670,122666,122666,1,20997111,4000032,b'stress-ng-ring-',b'stress-ng-ring-',1
9177585006206,122668,122668,1,20998536,3999987,b'stress-ng-ring-',b'stress-ng-ring-',1
9177606007427,122666,122666,1,21001221,3999994,b'stress-ng-ring-',b'stress-ng-ring-',1
9177627013498,122669,122669,1,21006071,3999991,b'stress-ng-ring-',b'stress-ng-ring-',1
9177648016785,122684,122684,1,21003287,4000008,b'stress-ng-ring-',b'stress-ng-ring-',1
9177669006669,122671,122671,1,20989884,4000008,b'stress-ng-ring-',b'stress-ng-ring-',1
9177690008229,122666,122666,1,21001560,4000012,b'stress-ng-ring-',b'stress-ng-ring-',1
9177711010678,122681,122681,1,21002449,3999978,b'stress-ng-ring-',b'stress-ng-ring-',1
9177732019131,122679,122679,1,21008453,3999967,b'stress-ng-ring-',b'stress-ng-ring-',1
9177753005897,122683,122683,1,20986766,3999990,b'stress-ng-ring-',b'stress-ng-ring-',1
9177774010181,122681,122681,1,21004284,4000010,b'stress-ng-ring-',b'stress-ng-ring-',1
9177795010363,122668,122668,1,21000182,3999977,b'stress-ng-ring-',b'stress-ng-ring-',1
9177816025157,122677,122677,1,21014794,3999981,b'stress-ng-ring-',b'stress-ng-ring-',1
9177837008855,122664,122664,1,20983698,4000020,b'stress-ng-ring-',b'stress-ng-ring-',1
9177858022058,122675,122675,1,21013203,4000005,b'stress-ng-ring-',b'stress-ng-ring-',1
9177879006962,122667,122667,1,20984904,3999981,b'stress-ng-ring-',b'stress-ng-ring-',1
9177900011212,122677,122677,1,21004250,4000008,b'stress-ng-ring-',b'stress-ng-ring-',1
9177921009963,122679,122679,1,20998751,4000011,b'stress-ng-ring-',b'stress-ng-ring-',1
9177942008448,122683,122683,1,20998485,3999979,b'stress-ng-ring-',b'stress-ng-ring-',1
9177039008329,122668,122668,0,20744261,4000015,b'stress-ng-ring-',b'pkill',1
9177060006174,122681,122681,0,20997845,3999988,b'stress-ng-ring-',b'pkill',1
9177081009441,122671,122671,0,21003267,3999975,b'stress-ng-ring-',b'pkill',1
9177102008944,122678,122678,0,20999503,3999986,b'stress-ng-ring-',b'stress-ng-ring-',1
9177123011476,122683,122683,0,21002532,4000011,b'stress-ng-ring-',b'stress-ng-ring-',1
9177144008949,122666,122666,0,20997473,3999999,b'stress-ng-ring-',b'stress-ng-ring-',1
9177165012980,122674,122674,0,21004031,3999997,b'stress-ng-ring-',b'stress-ng-ring-',1
9177186012821,122666,122666,0,20999841,3999988,b'stress-ng-ring-',b'stress-ng-ring-',1
9177207018121,122673,122673,0,21005300,4000032,b'stress-ng-ring-',b'stress-ng-ring-',1
9177228011585,122677,122677,0,20993464,3999975,b'stress-ng-ring-',b'stress-ng-ring-',1
9177249012888,122681,122681,0,21001303,4000003,b'stress-ng-ring-',b'stress-ng-ring-',1
9177270018209,122663,122663,0,21005321,3999990,b'stress-ng-ring-',b'stress-ng-ring-',1
9177291011970,122667,122667,0,20993761,3999987,b'stress-ng-ring-',b'stress-ng-ring-',1
9177312010019,122665,122665,0,20998049,3999983,b'stress-ng-ring-',b'stress-ng-ring-',1
9177333009977,122682,122682,0,20999958,3999982,b'stress-ng-ring-',b'stress-ng-ring-',1
9177354007088,122686,122686,0,20997111,4000023,b'stress-ng-ring-',b'stress-ng-ring-',1
9177375005751,122681,122681,0,20998663,4000006,b'stress-ng-ring-',b'stress-ng-ring-',1
9177396009342,122665,122665,0,21003591,4000006,b'stress-ng-ring-',b'stress-ng-ring-',1
9177417009369,122669,122669,0,21000027,4000006,b'stress-ng-ring-',b'stress-ng-ring-',1
9177438008508,122679,122679,0,20999139,3999997,b'stress-ng-ring-',b'stress-ng-ring-',1
9177459025350,122665,122665,0,21016842,4000000,b'stress-ng-ring-',b'stress-ng-ring-',1
9177480006933,122664,0,0,20981583,3999995,b'stress-ng-ring-',b'',1
9177501009896,122670,122670,0,20987649,4000009,b'stress-ng-ring-',b'stress-ng-ring-',1
9177522009487,122682,122682,0,20999591,3999990,b'stress-ng-ring-',b'stress-ng-ring-',1
9177543008312,122671,122671,0,20998825,4000006,b'stress-ng-ring-',b'stress-ng-ring-',1
9177564007387,122683,122683,0,20999075,3999991,b'stress-ng-ring-',b'stress-ng-ring-',1
9177585014426,122664,122664,0,21007039,3999975,b'stress-ng-ring-',b'stress-ng-ring-',1
9177606005556,122677,122677,0,20991130,3999990,b'stress-ng-ring-',b'stress-ng-ring-',1
9177627009052,122682,122682,0,21003496,4000011,b'stress-ng-ring-',b'stress-ng-ring-',1
9177648006095,122673,0,0,20997043,4000001,b'stress-ng-ring-',b'',1
9177669020118,122675,122675,0,20995971,3999994,b'stress-ng-ring-',b'stress-ng-ring-',1
