timestamp_ns,pid,prev_pid,cpu,latency_ns,enqueue_ts_ns,dequeue_ts_ns,comm,prev_comm,enqueue_type
9177018231840,122663,0,3,32629,9177018199211,9177018231840,b'stress-ng-ring-',b'swapper/3',2
9177018264068,122668,0,0,2694,9177018261374,9177018264068,b'stress-ng-ring-',b'swapper/0',2
9177018253241,122664,0,1,32796,9177018220445,9177018253241,b'stress-ng-ring-',b'swapper/1',2
9177018250465,122665,0,2,26149,9177018224316,9177018250465,b'stress-ng-ring-',b'swapper/2',2
9177018255622,122666,0,4,4746,9177018250876,9177018255622,b'stress-ng-ring-',b'swapper/4',2
9177018259912,122667,0,5,3608,9177018256304,9177018259912,b'stress-ng-ring-',b'swapper/5',2
9177039022952,122677,122664,1,20709764,9177018313188,9177039022952,b'stress-ng-ring-',b'stress-ng-ring-',2
9177060024885,122665,122677,1,21014121,9177039010764,9177060024885,b'stress-ng-ring-',b'stress-ng-ring-',2
9177081010060,122676,122665,1,62702537,9177018307523,9177081010060,b'stress-ng-ring-',b'stress-ng-ring-',2
9177102009044,122682,122676,1,42001231,9177060007813,9177102009044,b'stress-ng-ring-',b'stress-ng-ring-',2
9177123006171,122664,122682,1,83983219,9177039022952,9177123006171,b'stress-ng-ring-',b'stress-ng-ring-',2
9177144011142,122683,122664,1,20999666,9177123011476,9177144011142,b'stress-ng-ring-',b'stress-ng-ring-',2
9177165010372,122682,122683,1,42004201,9177123006171,9177165010372,b'stress-ng-ring-',b'stress-ng-ring-',2
9177186010690,122685,122682,1,84001179,9177102009511,9177186010690,b'stress-ng-ring-',b'stress-ng-ring-',2
9177207007111,122664,122685,1,62995969,9177144011142,9177207007111,b'stress-ng-ring-',b'stress-ng-ring-',2
9177228014992,122665,122664,1,63000671,9177165014321,9177228014992,b'stress-ng-ring-',b'stress-ng-ring-',2
9177249008365,122672,122665,1,62997674,9177186010691,9177249008365,b'stress-ng-ring-',b'stress-ng-ring-',2
9177270009998,122683,122672,1,21004424,9177249005574,9177270009998,b'stress-ng-ring-',b'stress-ng-ring-',2
9177291011477,122674,122683,1,42002036,9177249009441,9177291011477,b'stress-ng-ring-',b'stress-ng-ring-',2
9177312007589,122685,122674,1,105000478,9177207007111,9177312007589,b'stress-ng-ring-',b'stress-ng-ring-',2
9177333008423,122672,122685,1,62998425,9177270009998,9177333008423,b'stress-ng-ring-',b'stress-ng-ring-',2
9177354008554,122666,122672,1,41996467,9177312012087,9177354008554,b'stress-ng-ring-',b'stress-ng-ring-',2
9177375008270,122674,122666,1,63000681,9177312007589,9177375008270,b'stress-ng-ring-',b'stress-ng-ring-',2
9177396011510,122670,122674,1,42005234,9177354006276,9177396011510,b'stress-ng-ring-',b'stress-ng-ring-',2
9177417010680,122678,122670,1,84000679,9177333010001,9177417010680,b'stress-ng-ring-',b'stress-ng-ring-',2
9177438025777,122686,122678,1,84018689,9177354007088,9177438025777,b'stress-ng-ring-',b'stress-ng-ring-',2
9177459014070,122682,122686,1,63003270,9177396010800,9177459014070,b'stress-ng-ring-',b'stress-ng-ring-',2
9177480024893,122668,81,1,18776,9177480006117,9177480024893,b'stress-ng-ring-',b'kworker/1:1',2
9177501014846,122683,122668,1,8469,9177501006377,9177501014846,b'stress-ng-ring-',b'stress-ng-ring-',2
9177522007090,122678,122683,1,83981313,9177438025777,9177522007090,b'stress-ng-ring-',b'stress-ng-ring-',2
9177543010559,122666,122678,1,42000510,9177501010049,9177543010559,b'stress-ng-ring-',b'stress-ng-ring-',2
9177564007670,122668,122666,1,62992824,9177501014846,9177564007670,b'stress-ng-ring-',b'stress-ng-ring-',2
9177585006206,122666,122668,1,20998536,9177564007670,9177585006206,b'stress-ng-ring-',b'stress-ng-ring-',2
