timestamp_ns,pid,prev_pid,cpu,latency_ns,enqueue_ts_ns,dequeue_ts_ns,comm,prev_comm,enqueue_type
78804151748002,257092,0,0,25219,78804151722783,78804151748002,b'stress-ng-aio',b'swapper/0',2
78804151855546,257114,257044,0,29111,78804151826435,78804151855546,b'stress-ng-aio',b'stress-ng',2
78804151972514,257092,257114,0,113064,78804151859450,78804151972514,b'stress-ng-aio',b'stress-ng-aio',2
78804152265957,257114,257178,0,151745,78804152114212,78804152265957,b'stress-ng-aio',b'stress-ng-aio',2
78804152293320,257092,257114,0,89182,78804152204138,78804152293320,b'stress-ng-aio',b'stress-ng-aio',2
78804152333603,257114,257176,0,3295,78804152330308,78804152333603,b'stress-ng-aio',b'stress-ng-aio',2
78804152352459,257114,257176,0,2387,78804152350072,78804152352459,b'stress-ng-aio',b'stress-ng-aio',2
78804152375575,257092,257178,0,2461,78804152373114,78804152375575,b'stress-ng-aio',b'stress-ng-aio',2
78804152398096,257114,257176,0,2275,78804152395821,78804152398096,b'stress-ng-aio',b'stress-ng-aio',2
78804152415539,257092,257178,0,2110,78804152413429,78804152415539,b'stress-ng-aio',b'stress-ng-aio',2
78804152436575,257114,257176,0,3040,78804152433535,78804152436575,b'stress-ng-aio',b'stress-ng-aio',2
78804152562145,257114,257176,0,3891,78804152558254,78804152562145,b'stress-ng-aio',b'stress-ng-aio',2
78804152669174,257092,253645,0,211650,78804152457524,78804152669174,b'stress-ng-aio',b'kworker/u32:0',2
78804152688484,257114,253645,0,106539,78804152581945,78804152688484,b'stress-ng-aio',b'kworker/u32:0',2
78804152732813,257114,257176,0,33131,78804152699682,78804152732813,b'stress-ng-aio',b'stress-ng-aio',2
78804152763109,257101,257178,0,333571,78804152429538,78804152763109,b'stress-ng-aio',b'stress-ng-aio',2
78804152806449,257101,253645,0,16551,78804152789898,78804152806449,b'stress-ng-aio',b'kworker/u32:0',2
78804152818586,257106,257101,0,200561,78804152618025,78804152818586,b'stress-ng-aio',b'stress-ng-aio',2
78804152869664,257106,253645,0,19812,78804152849852,78804152869664,b'stress-ng-aio',b'kworker/u32:0',2
78804152910339,257106,253645,0,15849,78804152894490,78804152910339,b'stress-ng-aio',b'kworker/u32:0',2
78804152960260,257104,257173,0,128364,78804152831896,78804152960260,b'stress-ng-aio',b'stress-ng-aio',2
78804152979811,257111,257104,0,80269,78804152899542,78804152979811,b'stress-ng-aio',b'stress-ng-aio',2
78804153160085,257095,0,0,4010,78804153156075,78804153160085,b'stress-ng-aio',b'swapper/0',2
78804151756241,257093,0,1,7139,78804151749102,78804151756241,b'stress-ng-aio',b'swapper/1',2
78804151797615,257097,257093,1,44618,78804151752997,78804151797615,b'stress-ng-aio',b'stress-ng-aio',2
78804151971337,257103,257097,1,202826,78804151768511,78804151971337,b'stress-ng-aio',b'stress-ng-aio',2
78804152117061,257109,257103,1,322136,78804151794925,78804152117061,b'stress-ng-aio',b'stress-ng-aio',2
78804152563519,257097,257187,1,277993,78804152285526,78804152563519,b'stress-ng-aio',b'stress-ng-aio',2
78804152585338,257103,257097,1,197289,78804152388049,78804152585338,b'stress-ng-aio',b'stress-ng-aio',2
78804152704240,257109,257181,1,215704,78804152488536,78804152704240,b'stress-ng-aio',b'stress-ng-aio',2
78804152725583,257109,257187,1,9263,78804152716320,78804152725583,b'stress-ng-aio',b'stress-ng-aio',2
78804152744007,257103,257187,1,120492,78804152623515,78804152744007,b'stress-ng-aio',b'stress-ng-aio',2
78804152756650,257109,257103,1,26150,78804152730500,78804152756650,b'stress-ng-aio',b'stress-ng-aio',2
78804152796373,257097,257174,1,3163,78804152793210,78804152796373,b'stress-ng-aio',b'stress-ng-aio',2
78804152803742,257109,257097,1,32057,78804152771685,78804152803742,b'stress-ng-aio',b'stress-ng-aio',2
78804152836025,257097,257174,1,3024,78804152833001,78804152836025,b'stress-ng-aio',b'stress-ng-aio',2
78804152843610,257109,257097,1,29776,78804152813834,78804152843610,b'stress-ng-aio',b'stress-ng-aio',2
78804152940733,257097,257187,1,61107,78804152879626,78804152940733,b'stress-ng-aio',b'stress-ng-aio',2
78804152949930,257109,257097,1,56344,78804152893586,78804152949930,b'stress-ng-aio',b'stress-ng-aio',2
78804152975723,257093,257181,1,101139,78804152874584,78804152975723,b'stress-ng-aio',b'stress-ng-aio',2
