timestamp_ns,pid,cpu,refs,misses,cache_level,comm
78919574952454,258439,0,58905,0,0,b'stress-ng-cpu'
78919574993561,258439,0,0,3468,0,b'stress-ng-cpu'
78919575092444,258439,0,101489,0,0,b'stress-ng-cpu'
78919575283722,258439,0,995013,0,0,b'stress-ng-cpu'
78919575359006,258439,0,0,13624,0,b'stress-ng-cpu'
78919574918576,258432,1,106669,0,0,b'stress-ng-cpu'
78919575173819,258432,1,158918,0,0,b'stress-ng-cpu'
78919575537426,258432,1,917148,0,0,b'stress-ng-cpu'
78919575297926,258447,2,101479,0,0,b'stress-ng-aio'
78919575449936,258431,2,0,40360,0,b'stress-ng-cpu'
78919575672995,258431,2,419181,0,0,b'stress-ng-cpu'
78919576354495,258431,2,1967730,0,0,b'stress-ng-cpu'
78919575312327,258433,3,78625718,0,0,b'stress-ng-aio'
78919575036136,258435,5,68985,0,0,b'stress-ng-cpu'
78919575190062,258435,5,969275,0,0,b'stress-ng-cpu'
78919577357275,258435,5,7716415,0,0,b'stress-ng-cpu'
78919577994421,258435,5,0,23817,0,b'stress-ng-cpu'
78919582002515,258435,5,0,31562,0,b'stress-ng-cpu'
78919576916148,258439,0,0,64356,0,b'stress-ng-cpu'
78919577496039,258439,0,6676043,0,0,b'stress-ng-cpu'
78919587572850,258439,0,6706501,0,0,b'stress-ng-cpu'
78919577616332,258432,1,4029985,0,0,b'stress-ng-cpu'
78919581358411,258440,1,0,67255,0,b'stress-ng-aio'
78919583681770,258437,1,5458748,0,0,b'stress-ng-cpu'
78919578855057,258431,2,6052559,0,0,b'stress-ng-cpu'
78919581002496,258431,2,0,52871,0,b'stress-ng-cpu'
78919589365294,258431,2,5822316,0,0,b'stress-ng-cpu'
78919589740007,258441,4,5966657,0,0,b'stress-ng-cpu'
78919591113224,258437,1,6697196,0,0,b'stress-ng-cpu'
78919591114040,258435,5,6155831,0,0,b'stress-ng-cpu'
78919597723776,258431,2,6640255,0,0,b'stress-ng-cpu'
78919598112655,258439,0,6455152,0,0,b'stress-ng-cpu'
78919599964350,258437,1,7275817,0,0,b'stress-ng-cpu'
78919600779260,258435,5,6525561,0,0,b'stress-ng-cpu'
78919600859474,258441,4,5594110,0,0,b'stress-ng-cpu'
78919604878030,258431,2,8310203,0,0,b'stress-ng-cpu'
78919609249335,258439,0,5937180,0,0,b'stress-ng-cpu'
78919609793432,258437,1,7422051,0,0,b'stress-ng-cpu'
78919611306923,258435,5,6298780,0,0,b'stress-ng-cpu'
78919611560598,258441,4,5070110,0,0,b'stress-ng-cpu'
78919613002273,258441,4,0,5103,0,b'stress-ng-cpu'
78919613691762,258431,2,9067361,0,0,b'stress-ng-cpu'
78919619020514,258439,0,6211657,0,0,b'stress-ng-cpu'
78919619644413,258437,1,7515817,0,0,b'stress-ng-cpu'
78919620882655,258441,4,5543232,0,0,b'stress-ng-cpu'
78919621347170,258435,5,6268495,0,0,b'stress-ng-cpu'
78919623375616,258431,2,9298660,0,0,b'stress-ng-cpu'
78919629793495,258439,0,5908618,0,0,b'stress-ng-cpu'
78919629819619,258437,1,7389881,0,0,b'stress-ng-cpu'
78919631650218,258441,4,5057611,0,0,b'stress-ng-cpu'
78919631743872,258435,5,5988888,0,0,b'stress-ng-cpu'
78919633279590,258431,2,9389007,0,0,b'stress-ng-cpu'
78919634643807,258452,4,0,2831,0,b'stress-ng-aio'
78919634698832,258447,4,0,16832,0,b'stress-ng-aio'
78919634957289,258430,2,0,1376,0,b'stress-ng-aio'
78919634978624,258430,2,0,118275,0,b'stress-ng-aio'
78919634627447,258435,5,0,1755,0,b'stress-ng-cpu'
78919635646069,258437,1,0,2425,0,b'stress-ng-cpu'
78919636304972,258432,3,0,2910,0,b'stress-ng-cpu'
78919636847444,258435,5,0,2984,0,b'stress-ng-cpu'
78919639506120,258439,0,6069101,0,0,b'stress-ng-cpu'
78919639726538,258437,1,7433333,0,0,b'stress-ng-cpu'
78919639844259,258439,0,0,22837,0,b'stress-ng-cpu'
78919640138135,258441,4,5755757,0,0,b'stress-ng-cpu'
78919640458513,258437,1,0,3376,0,b'stress-ng-cpu'
78919641448220,258435,5,0,4189,0,b'stress-ng-cpu'
78919641850613,258435,5,5881764,0,0,b'stress-ng-cpu'
78919642659993,258432,3,0,4687,0,b'stress-ng-cpu'
78919643444366,258431,2,9363766,0,0,b'stress-ng-cpu'
78919649459800,258437,1,7641924,0,0,b'stress-ng-cpu'
78919649904920,258439,0,5923377,0,0,b'stress-ng-cpu'
78919650960401,258441,4,5555227,0,0,b'stress-ng-cpu'
78919651140104,258435,5,6146133,0,0,b'stress-ng-cpu'
78919653461649,258431,2,9383599,0,0,b'stress-ng-cpu'
78919654115259,258437,1,0,1819,0,b'stress-ng-cpu'
78919654130196,258437,1,0,1819,0,b'stress-ng-cpu'
78919658463766,258437,1,0,93830,0,b'stress-ng-cpu'
78919658687400,258439,0,6524795,0,0,b'stress-ng-cpu'
78919659861318,258437,1,7427165,0,0,b'stress-ng-cpu'
78919659951777,258441,4,6233702,0,0,b'stress-ng-cpu'
78919661180750,258435,5,5911835,0,0,b'stress-ng-cpu'
78919661635538,258435,5,0,2231,0,b'stress-ng-cpu'
78919663502990,258431,2,9313766,0,0,b'stress-ng-cpu'
78919668551860,258439,0,6641391,0,0,b'stress-ng-cpu'
78919669641401,258437,1,7571984,0,0,b'stress-ng-cpu'
78919669960716,258435,5,6505528,0,0,b'stress-ng-cpu'
78919670093982,258441,4,6029609,0,0,b'stress-ng-cpu'
78919671817142,258435,5,0,1761,0,b'stress-ng-cpu'
78919673439290,258431,2,9344618,0,0,b'stress-ng-cpu'
