timestamp_ns,pid,cpu,refs,misses,cache_level,comm
79625365111096,266532,0,228947,0,0,b'stress-ng-cpu'
79625365044533,266531,4,0,85003,0,b'stress-ng-aio'
79625365178889,266541,4,255873,0,0,b'stress-ng-aio'
79625365137667,266536,5,157885,0,0,b'stress-ng-aio'
79625365357833,266537,5,0,43598,0,b'stress-ng-cpu'
79625365506788,266537,5,157885,0,0,b'stress-ng-cpu'
79625365470365,266532,0,228947,0,0,b'stress-ng-cpu'
79625365788519,266532,0,996844,0,0,b'stress-ng-cpu'
79625365284069,266533,3,273122,0,0,b'stress-ng-cpu'
79625365709180,266533,3,1163313,0,0,b'stress-ng-cpu'
79625365663983,266535,4,255873,0,0,b'stress-ng-cpu'
79625365751364,266537,5,672863,0,0,b'stress-ng-cpu'
79625366054274,266535,4,1420370,0,0,b'stress-ng-cpu'
79625366675023,266540,5,4160164,0,0,b'stress-ng-cpu'
79625367211460,266532,0,5310454,0,0,b'stress-ng-cpu'
79625367509336,266533,3,4944794,0,0,b'stress-ng-cpu'
79625368476529,266535,4,5800235,0,0,b'stress-ng-cpu'
79625369543031,266550,5,0,73758,0,b'stress-ng-cpu'
79625371252247,266550,5,9127153,0,0,b'stress-ng-cpu'
79625372054889,266547,3,0,55129,0,b'stress-ng-cpu'
79625372950843,266547,3,8324908,0,0,b'stress-ng-cpu'
79625376337870,266532,0,7078878,0,0,b'stress-ng-cpu'
79625377732521,266535,4,6205850,0,0,b'stress-ng-cpu'
79625378083488,266538,0,0,64277,0,b'stress-ng-aio'
79625380019907,266540,5,0,71919,0,b'stress-ng-cpu'
79625381076101,266552,4,0,49765,0,b'stress-ng-cpu'
79625381368033,266542,3,0,61153,0,b'stress-ng-cpu'
79625381853091,266542,3,9115827,0,0,b'stress-ng-cpu'
79625381958310,266553,5,8768994,0,0,b'stress-ng-cpu'
79625388656099,266550,5,0,71220,0,b'stress-ng-cpu'
79625388695900,266554,4,5785480,0,0,b'stress-ng-cpu'
79625389017081,266542,3,0,66997,0,b'stress-ng-cpu'
79625389214633,266535,0,5654771,0,0,b'stress-ng-cpu'
79625390055275,266534,0,0,51456,0,b'stress-ng-aio'
79625391208957,266553,5,9343918,0,0,b'stress-ng-cpu'
79625391065054,266532,4,0,52063,0,b'stress-ng-cpu'
79625393083893,266540,3,8483155,0,0,b'stress-ng-cpu'
79625398480051,266554,4,5944663,0,0,b'stress-ng-cpu'
79625399165600,266537,0,5596127,0,0,b'stress-ng-cpu'
79625399641597,266537,0,0,51147,0,b'stress-ng-cpu'
79625400283876,266545,5,0,61540,0,b'stress-ng-cpu'
79625400616247,266545,5,9798603,0,0,b'stress-ng-cpu'
79625401002197,266540,3,0,56901,0,b'stress-ng-cpu'
79625402095466,266542,3,9083758,0,0,b'stress-ng-cpu'
79625402429542,266552,4,0,53876,0,b'stress-ng-cpu'
79625407872829,266540,0,6161373,0,0,b'stress-ng-cpu'
79625407877771,266545,4,6188844,0,0,b'stress-ng-cpu'
79625410473611,266542,5,9982014,0,0,b'stress-ng-cpu'
79625411831453,266552,3,9374660,0,0,b'stress-ng-cpu'
79625413036965,266547,5,0,46828,0,b'stress-ng-cpu'
79625414190057,266540,3,0,44720,0,b'stress-ng-cpu'
79625416415833,266553,4,0,41355,0,b'stress-ng-cpu'
79625417351510,266537,0,6466934,0,0,b'stress-ng-cpu'
79625417594861,266537,0,0,29775,0,b'stress-ng-cpu'
79625418058718,266533,4,6035127,0,0,b'stress-ng-cpu'
79625420937223,266532,5,9536468,0,0,b'stress-ng-cpu'
79625422105590,266545,3,9306674,0,0,b'stress-ng-cpu'
79625422298838,266554,5,0,46072,0,b'stress-ng-cpu'
79625422599795,266545,3,0,44193,0,b'stress-ng-cpu'
79625428217642,266542,0,6173228,0,0,b'stress-ng-cpu'
79625428190447,266540,4,0,35867,0,b'stress-ng-cpu'
79625428339286,266540,4,5974651,0,0,b'stress-ng-cpu'
