timestamp_ns,pid,prev_pid,cpu,latency_ns,enqueue_ts_ns,dequeue_ts_ns,comm,prev_comm,enqueue_type
80567004336526,277344,0,0,411644,80567003924882,80567004336526,b'stress-ng-aio',b'swapper/0',2
80567004362093,277350,0,0,398428,80567003963665,80567004362093,b'stress-ng-aio',b'swapper/0',2
80567004406709,277341,0,0,500715,80567003905994,80567004406709,b'stress-ng-aio',b'swapper/0',2
80567004508221,277348,277377,0,556841,80567003951380,80567004508221,b'stress-ng-aio',b'stress-ng-aio',2
80567004713244,277350,0,0,338253,80567004374991,80567004713244,b'stress-ng-aio',b'swapper/0',2
80567005031671,277347,277378,0,189660,80567004842011,80567005031671,b'stress-ng-aio',b'stress-ng-aio',2
80567005046603,277346,277347,0,195764,80567004850839,80567005046603,b'stress-ng-aio',b'stress-ng-aio',2
80567003827319,277330,0,1,50016,80567003777303,80567003827319,b'stress-ng-aio',b'swapper/1',2
80567004369165,277336,0,1,508690,80567003860475,80567004369165,b'stress-ng-aio',b'swapper/1',2
80567004414717,277337,0,1,549126,80567003865591,80567004414717,b'stress-ng-aio',b'swapper/1',2
80567004667300,277352,277363,1,339683,80567004327617,80567004667300,b'stress-ng-aio',b'stress-ng-aio',2
80567004698498,277351,0,1,337659,80567004360839,80567004698498,b'stress-ng-aio',b'swapper/1',2
80567004737091,277335,0,1,417083,80567004320008,80567004737091,b'stress-ng-aio',b'swapper/1',2
80567004950571,277349,277362,1,122331,80567004828240,80567004950571,b'stress-ng-aio',b'stress-ng-aio',2
80567005077133,277337,277370,1,231966,80567004845167,80567005077133,b'stress-ng-aio',b'stress-ng-aio',2
80567005090869,277351,277337,1,146407,80567004944462,80567005090869,b'stress-ng-aio',b'stress-ng-aio',2
80567005107984,277336,277351,1,178142,80567004929842,80567005107984,b'stress-ng-aio',b'stress-ng-aio',2
80567005212902,277342,277369,1,23659,80567005189243,80567005212902,b'stress-ng-aio',b'stress-ng-aio',2
80567005228165,277331,277342,1,33496,80567005194669,80567005228165,b'stress-ng-aio',b'stress-ng-aio',2
