timestamp_ns,pid,prev_pid,cpu,latency_ns,enqueue_ts_ns,dequeue_ts_ns,comm,prev_comm,enqueue_type
80095811701162,271937,0,0,27192,80095811673970,80095811701162,b'stress-ng-cpu',b'swapper/0',2
80095811639129,271934,0,1,3654,80095811635475,80095811639129,b'stress-ng-aio',b'swapper/1',2
80095811751636,271945,271934,1,23705,80095811727931,80095811751636,b'stress-ng-aio',b'stress-ng-aio',2
80095811907162,271949,271945,1,161063,80095811746099,80095811907162,b'stress-ng-aio',b'stress-ng-aio',2
80095812048643,271953,271949,1,271581,80095811777062,80095812048643,b'stress-ng-aio',b'stress-ng-aio',2
80095812181722,271950,271953,1,418117,80095811763605,80095812181722,b'stress-ng-aio',b'stress-ng-aio',2
80095812317998,271951,271950,1,549361,80095811768637,80095812317998,b'stress-ng-aio',b'stress-ng-aio',2
80095812457230,271954,271951,1,675998,80095811781232,80095812457230,b'stress-ng-aio',b'stress-ng-aio',2
80095812591701,271936,271954,1,30330,80095812561371,80095812591701,b'stress-ng-aio',b'stress-ng-aio',2
80095812746992,271938,272017,1,35389,80095812711603,80095812746992,b'stress-ng-aio',b'stress-ng-aio',2
80095812772399,271945,271938,1,28496,80095812743903,80095812772399,b'stress-ng-aio',b'stress-ng-aio',2
80095812915990,271947,272019,1,4574,80095812911416,80095812915990,b'stress-ng-aio',b'stress-ng-aio',2
80095812941291,271952,271947,1,64824,80095812876467,80095812941291,b'stress-ng-aio',b'stress-ng-aio',2
80095812966955,271947,271952,1,19228,80095812947727,80095812966955,b'stress-ng-aio',b'stress-ng-aio',2
80095813107833,271949,272021,1,37089,80095813070744,80095813107833,b'stress-ng-aio',b'stress-ng-aio',2
80095813133443,271934,271949,1,29198,80095813104245,80095813133443,b'stress-ng-aio',b'stress-ng-aio',2
80095813274302,271948,272023,1,70094,80095813204208,80095813274302,b'stress-ng-aio',b'stress-ng-aio',2
80095811655187,271935,0,2,4434,80095811650753,80095811655187,b'stress-ng-cpu',b'swapper/2',2
80095811633465,271933,0,3,36088,80095811597377,80095811633465,b'stress-ng-cpu',b'swapper/3',2
80095811706623,271938,271848,4,27680,80095811678943,80095811706623,b'stress-ng-aio',b'stress-ng',2
80095811871678,271947,271938,4,134259,80095811737419,80095811871678,b'stress-ng-aio',b'stress-ng-aio',2
80095812003567,271948,271947,4,261931,80095811741636,80095812003567,b'stress-ng-aio',b'stress-ng-aio',2
80095812133989,271956,271948,4,343779,80095811790210,80095812133989,b'stress-ng-aio',b'stress-ng-aio',2
80095812265303,271942,53424,4,552483,80095811712820,80095812265303,b'stress-ng-aio',b'kworker/4:2',2
80095812381269,271946,271942,4,648704,80095811732565,80095812381269,b'stress-ng-aio',b'stress-ng-aio',2
80095812496839,271941,271946,4,788856,80095811707983,80095812496839,b'stress-ng-cpu',b'stress-ng-aio',2
80095811658183,271936,0,5,2262,80095811655921,80095811658183,b'stress-ng-aio',b'swapper/5',2
80095811866689,271952,271936,5,93853,80095811772836,80095811866689,b'stress-ng-aio',b'stress-ng-aio',2
80095812001278,271934,271952,5,234193,80095811767085,80095812001278,b'stress-ng-aio',b'stress-ng-aio',2
80095812100646,271944,271934,5,377108,80095811723538,80095812100646,b'stress-ng-aio',b'stress-ng-aio',2
80095812235395,271955,271944,5,449748,80095811785647,80095812235395,b'stress-ng-aio',b'stress-ng-aio',2
80095812371638,271940,271955,5,668557,80095811703081,80095812371638,b'stress-ng-aio',b'stress-ng-aio',2
80095812642726,271936,272016,5,8875,80095812633851,80095812642726,b'stress-ng-aio',b'stress-ng-aio',2
80095812671764,271938,271936,5,8659,80095812663105,80095812671764,b'stress-ng-aio',b'stress-ng-aio',2
80095812821972,271945,272018,5,13176,80095812808796,80095812821972,b'stress-ng-aio',b'stress-ng-aio',2
80095812841205,271952,271945,5,4946,80095812836259,80095812841205,b'stress-ng-aio',b'stress-ng-aio',2
80095812999610,271947,272020,5,12078,80095812987532,80095812999610,b'stress-ng-aio',b'stress-ng-aio',2
80095813026237,271949,271947,5,3407,80095813022830,80095813026237,b'stress-ng-aio',b'stress-ng-aio',2
80095813184489,271934,272022,5,11961,80095813172528,80095813184489,b'stress-ng-aio',b'stress-ng-aio',2
80095813409603,271956,272026,5,37708,80095813371895,80095813409603,b'stress-ng-aio',b'stress-ng-aio',2
80095813435646,271944,271956,5,95538,80095813340108,80095813435646,b'stress-ng-aio',b'stress-ng-aio',2
80095813570198,271950,272029,5,75120,80095813495078,80095813570198,b'stress-ng-aio',b'stress-ng-aio',2
80095813702021,271942,272031,5,74521,80095813627500,80095813702021,b'stress-ng-aio',b'stress-ng-aio',2
80095813836358,271946,272033,5,75729,80095813760629,80095813836358,b'stress-ng-aio',b'stress-ng-aio',2
80095814085058,271948,272023,5,74723,80095814010335,80095814085058,b'stress-ng-aio',b'stress-ng-aio',2
80095814096737,271951,271948,5,75882,80095814020855,80095814096737,b'stress-ng-aio',b'stress-ng-aio',2
80095814199883,271940,272035,5,68114,80095814131769,80095814199883,b'stress-ng-aio',b'stress-ng-aio',2
80095814214032,271954,271940,5,84961,80095814129071,80095814214032,b'stress-ng-aio',b'stress-ng-aio',2
80095814230861,271953,271954,5,4987,80095814225874,80095814230861,b'stress-ng-aio',b'stress-ng-aio',2
80095814337636,271953,272031,5,72578,80095814265058,80095814337636,b'stress-ng-aio',b'stress-ng-aio',2
80095814450450,271950,265093,5,71136,80095814379314,80095814450450,b'stress-ng-aio',b'kworker/u32:5',2
80095814554935,271952,272019,5,72545,80095814482390,80095814554935,b'stress-ng-aio',b'stress-ng-aio',2
80095814665516,271945,272018,5,72205,80095814593311,80095814665516,b'stress-ng-aio',b'stress-ng-aio',2
80095814773276,271934,272022,5,68658,80095814704618,80095814773276,b'stress-ng-aio',b'stress-ng-aio',2
80095814885238,271947,272021,5,56013,80095814829225,80095814885238,b'stress-ng-aio',b'stress-ng-aio',2
80095814900632,271949,271947,5,83939,80095814816693,80095814900632,b'stress-ng-aio',b'stress-ng-aio',2
80095815027799,271939,272033,5,3329134,80095811698665,80095815027799,b'stress-ng-cpu',b'stress-ng-aio',2
80095813305627,271953,271948,1,58769,80095813246858,80095813305627,b'stress-ng-aio',b'stress-ng-aio',2
80095813454258,271956,272027,1,12144,80095813442114,80095813454258,b'stress-ng-aio',b'stress-ng-aio',2
80095813583344,271955,272030,1,73511,80095813509833,80095813583344,b'stress-ng-aio',b'stress-ng-aio',2
80095813709321,271951,272032,1,71614,80095813637707,80095813709321,b'stress-ng-aio',b'stress-ng-aio',2
80095813841781,271940,272034,1,78439,80095813763342,80095813841781,b'stress-ng-aio',b'stress-ng-aio',2
80095813965837,271944,272035,1,89743,80095813876094,80095813965837,b'stress-ng-aio',b'stress-ng-aio',2
80095813977270,271954,271944,1,81533,80095813895737,80095813977270,b'stress-ng-aio',b'stress-ng-aio',2
80095814347531,271942,265093,1,70697,80095814276834,80095814347531,b'stress-ng-aio',b'kworker/u32:5',2
80095814458708,271955,272029,1,90745,80095814367963,80095814458708,b'stress-ng-aio',b'stress-ng-aio',2
80095814572207,271946,272033,1,85195,80095814487012,80095814572207,b'stress-ng-aio',b'stress-ng-aio',2
80095814682560,271938,272017,1,81714,80095814600846,80095814682560,b'stress-ng-aio',b'stress-ng-aio',2
80095814796898,271956,272027,1,80451,80095814716447,80095814796898,b'stress-ng-aio',b'stress-ng-aio',2
80095814934619,271936,272027,1,3059,80095814931560,80095814934619,b'stress-ng-aio',b'stress-ng-aio',2
80095814973765,271936,272034,1,3177,80095814970588,80095814973765,b'stress-ng-aio',b'stress-ng-aio',2
80095814996106,271936,272032,1,3190,80095814992916,80095814996106,b'stress-ng-aio',b'stress-ng-aio',2
80095815024414,271943,272020,1,3306046,80095811718368,80095815024414,b'stress-ng-cpu',b'stress-ng-aio',2
80095832020021,271935,254872,2,12687,80095832007334,80095832020021,b'stress-ng-cpu',b'kworker/2:0',2
80095853025025,271937,188478,0,19156,80095853005869,80095853025025,b'stress-ng-cpu',b'kworker/0:2',2
80095857018678,271943,81,1,13053,80095857005625,80095857018678,b'stress-ng-cpu',b'kworker/1:1',2
80095857020107,271939,89,5,14416,80095857005691,80095857020107,b'stress-ng-cpu',b'kworker/5:1',2
80095916164633,271935,272021,2,158719,80095916005914,80095916164633,b'stress-ng-cpu',b'stress-ng-aio',2
80095917078202,271936,272016,4,43715,80095917034487,80095917078202,b'stress-ng-aio',b'stress-ng-aio',2
80095917201588,271941,272023,4,192956,80095917008632,80095917201588,b'stress-ng-cpu',b'stress-ng-aio',2
80095941060522,271943,272016,1,52621,80095941007901,80095941060522,b'stress-ng-cpu',b'stress-ng-aio',2
80095958017699,271937,90,0,11636,80095958006063,80095958017699,b'stress-ng-cpu',b'kworker/0:1H',2
80095962016729,271943,99,1,10963,80095962005766,80095962016729,b'stress-ng-cpu',b'kworker/1:1H',2
80095979016396,271937,188478,0,10869,80095979005527,80095979016396,b'stress-ng-cpu',b'kworker/0:2',2
80095983014717,271943,99,1,8997,80095983005720,80095983014717,b'stress-ng-cpu',b'kworker/1:1H',2
80096004013915,271943,99,1,8876,80096004005039,80096004013915,b'stress-ng-cpu',b'kworker/1:1H',2
80096021024782,271937,90,0,19387,80096021005395,80096021024782,b'stress-ng-cpu',b'kworker/0:1H',2
80096022022036,271941,272016,4,13675,80096022008361,80096022022036,b'stress-ng-cpu',b'stress-ng-aio',2
80096042018202,271937,271935,2,12466,80096042005736,80096042018202,b'stress-ng-cpu',b'stress-ng-cpu',2
80096043007220,271935,271941,4,989018,80096042018202,80096043007220,b'stress-ng-cpu',b'stress-ng-cpu',2
80096046007400,271941,271939,5,3000180,80096043007220,80096046007400,b'stress-ng-cpu',b'stress-ng-cpu',2
80096058244048,271947,272020,0,15693,80096058228355,80096058244048,b'stress-ng-aio',b'stress-ng-aio',2
80096058289742,271938,272017,0,8092,80096058281650,80096058289742,b'stress-ng-aio',b'stress-ng-aio',2
80096058341025,271956,272027,0,10107,80096058330918,80096058341025,b'stress-ng-aio',b'stress-ng-aio',2
80096058352755,271953,271956,0,37923,80096058314832,80096058352755,b'stress-ng-aio',b'stress-ng-aio',2
80096058482100,271947,272020,0,63464,80096058418636,80096058482100,b'stress-ng-aio',b'stress-ng-aio',2
80096058560374,271938,272017,0,56036,80096058504338,80096058560374,b'stress-ng-aio',b'stress-ng-aio',2
80096058634602,271956,272027,0,53157,80096058581445,80096058634602,b'stress-ng-aio',b'stress-ng-aio',2
80096058710016,271953,272024,0,54578,80096058655438,80096058710016,b'stress-ng-aio',b'stress-ng-aio',2
80096059026351,271950,272029,0,67809,80096058958542,80096059026351,b'stress-ng-aio',b'stress-ng-aio',2
80096059043721,271940,271950,0,308196,80096058735525,80096059043721,b'stress-ng-aio',b'stress-ng-aio',2
80096059063167,271946,271940,0,174655,80096058888512,80096059063167,b'stress-ng-aio',b'stress-ng-aio',2
80096059147819,271951,272033,0,343370,80096058804449,80096059147819,b'stress-ng-aio',b'stress-ng-aio',2
80096059297927,271950,90,0,58646,80096059239281,80096059297927,b'stress-ng-aio',b'kworker/0:1H',2
80096059380264,271940,90,0,57649,80096059322615,80096059380264,b'stress-ng-aio',b'kworker/0:1H',2
80096059391100,271951,271940,0,214649,80096059176451,80096059391100,b'stress-ng-aio',b'stress-ng-aio',2
80096059403813,271946,271951,0,309416,80096059094397,80096059403813,b'stress-ng-aio',b'stress-ng-aio',2
80096059416986,271939,271946,0,13409586,80096046007400,80096059416986,b'stress-ng-cpu',b'stress-ng-aio',2
80096067017492,271952,271943,1,2400621,80096064616871,80096067017492,b'stress-ng-aio',b'stress-ng-cpu',2
80096067032005,271949,271952,1,2065876,80096064966129,80096067032005,b'stress-ng-aio',b'stress-ng-aio',2
80096067045385,271944,271949,1,3039732,80096064005653,80096067045385,b'stress-ng-aio',b'stress-ng-aio',2
80096067059934,271954,271944,1,2779415,80096064280519,80096067059934,b'stress-ng-aio',b'stress-ng-aio',2
80096067071316,271943,271954,1,53824,80096067017492,80096067071316,b'stress-ng-cpu',b'stress-ng-aio',2
80096067005584,271945,271941,5,2278615,80096064726969,80096067005584,b'stress-ng-aio',b'stress-ng-cpu',2
80096067023665,271934,271945,5,2186914,80096064836751,80096067023665,b'stress-ng-aio',b'stress-ng-aio',2
80096067036186,271948,271934,5,2888502,80096064147684,80096067036186,b'stress-ng-aio',b'stress-ng-aio',2
80096067052659,271955,271948,5,2532033,80096064520626,80096067052659,b'stress-ng-aio',b'stress-ng-aio',2
80096067067202,271942,271955,5,2656760,80096064410442,80096067067202,b'stress-ng-aio',b'stress-ng-aio',2
80096067080101,271941,271942,5,74517,80096067005584,80096067080101,b'stress-ng-cpu',b'stress-ng-aio',2
80096080029741,271939,90,0,23942,80096080005799,80096080029741,b'stress-ng-cpu',b'kworker/0:1H',2
80096083063636,271933,272024,3,54548,80096083009088,80096083063636,b'stress-ng-cpu',b'stress-ng-aio',2
80096101018537,271939,90,0,12779,80096101005758,80096101018537,b'stress-ng-cpu',b'kworker/0:1H',2
80096122017443,271939,188478,0,11967,80096122005476,80096122017443,b'stress-ng-cpu',b'kworker/0:2',2
80096125076450,271952,272019,3,8432,80096125068018,80096125076450,b'stress-ng-aio',b'stress-ng-aio',2
80096125116633,271949,272021,3,7409,80096125109224,80096125116633,b'stress-ng-aio',b'stress-ng-aio',2
80096125214066,271934,272022,3,71762,80096125142304,80096125214066,b'stress-ng-aio',b'stress-ng-aio',2
80096125311359,271945,272018,3,64754,80096125246605,80096125311359,b'stress-ng-aio',b'stress-ng-aio',2
80096125482611,271936,272016,3,64423,80096125418188,80096125482611,b'stress-ng-aio',b'stress-ng-aio',2
80096125568792,271944,272026,3,526301,80096125042491,80096125568792,b'stress-ng-aio',b'stress-ng-aio',2
80096125672755,271952,272019,3,71418,80096125601337,80096125672755,b'stress-ng-aio',b'stress-ng-aio',2
80096125765501,271949,272021,3,66094,80096125699407,80096125765501,b'stress-ng-aio',b'stress-ng-aio',2
